"Entidad federativa  
   Instituciones y sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Organismos Autónomos Públicos/Descentralizados,Puebla,147192,8.319904135,504444,28.51327329,717424,40.55178885,215305,12.16993423
Ejército y Marina,Puebla,175298,9.908572171,426492,24.10710198,662355,37.43905989,325729,18.41155806
Guardia Nacional,Puebla,191342,10.81544579,407812,23.05123067,619838,35.03582219,265868,15.02796533
Compañeros de trabajo,Puebla,81103,4.584278935,325546,18.40121414,545189,30.81635018,463833,26.21777063
Vecinos,Puebla,77690,4.391361978,245732,13.88979485,725390,41.00206031,602843,34.07519409
Familiares,Puebla,45040,2.545848159,252089,14.24911893,650068,36.74454754,777607,43.95358236
,,,,,,,,,
Querétaro,823692,,,,,,,,
Partidos políticos,Querétaro,390638,47.42525119,298006,36.17930003,82656,10.03481884,8896,1.080015346
Policías,Querétaro,364660,44.27140242,274273,33.29800459,139193,16.89867086,25678,3.117427388
Cámaras de Diputados y Senadores,Querétaro,307770,37.36469457,312017,37.88029992,98578,11.96782292,21920,2.661188891
Ministerio Público,Querétaro,262873,31.91399212,306483,37.20844685,159360,19.34703748,21455,2.604735751
Medios de comunicación,Querétaro,236123,28.666419,319962,38.84485949,182457,22.15111959,28014,3.40102854
Gobiernos Estatales,Querétaro,217181,26.36677302,337765,41.00622563,174718,21.21156937,24540,2.97926895
Gobierno Federal,Querétaro,278654,33.82987816,269344,32.69960131,156251,18.96959058,33852,4.10978861
Gobiernos Municipales,Querétaro,189746,23.03603774,352382,42.78079671,167936,20.38820336,35199,4.27332061
Jueces y Magistrados,Querétaro,220361,26.75283965,305328,37.06822453,152837,18.55511526,30453,3.697134366
Empresarios,Querétaro,196675,23.87725023,324624,39.41084774,178952,21.72559646,20782,2.523030453
Institutos electorales,Querétaro,211349,25.65874137,300408,36.47091389,194114,23.56633305,45164,5.483117476
Sindicatos,Querétaro,187695,22.7870369,286610,34.79577318,146625,17.80094987,38580,4.683789572
Comisiones de Derechos Humanos,Querétaro,145487,17.66279143,228452,27.73512429,236908,28.76172161,76627,9.30287049
Instituciones religiosas,Querétaro,130047,15.78830437,224318,27.23323767,257697,31.2856019,111746,13.56647873
Hospitales públicos,Querétaro,119824,14.54718511,230619,27.99820807,315141,38.2595679,94603,11.48523963
Universidades públicas,Querétaro,118027,14.32902104,229843,27.9039981,294607,35.76664579,50463,6.126440466
Escuelas públicas de nivel básico,Querétaro,80675,9.794316322,189915,23.05655512,380161,46.15329516,100841,12.24256154
Guardia Nacional,Querétaro,85766,10.41238715,175922,21.35774051,232551,28.23276176,79404,9.640011072
ONG's,Querétaro,57384,6.966681721,194608,23.62630692,330877,40.16999072,82002,9.95542023
Organismos Autónomos Públicos/Descentralizados,Querétaro,67655,8.213628395,183688,22.30056866,323047,39.21939269,111787,13.57145632
Ejército y Marina,Querétaro,57596,6.992419497,161196,19.56993634,311073,37.76569397,137711,16.71874924
Compañeros de trabajo,Querétaro,35188,4.27198516,121540,14.75551541,235664,28.61069429,167990,20.39475921
Familiares,Querétaro,27635,3.355016195,96646,11.73326923,251756,30.56433716,397862,48.30227804
Vecinos,Querétaro,26139,3.17339491,95062,11.54096434,277596,33.70143209,299888,36.40778349
,,,,,,,,,
Quintana Roo,907420,,,,,,,,
Policías,Quintana Roo,572834,63.12776884,244559,26.95102599,56342,6.209032201,5645,0.622093408
Partidos políticos,Quintana Roo,526881,58.06363095,255677,28.17625796,71947,7.92874303,8107,0.893412091
Ministerio Público,Quintana Roo,395207,43.55282008,309088,34.06228648,105101,11.58239845,20496,2.258711512
Gobiernos Municipales,Quintana Roo,305665,33.68506315,377981,41.65447092,101823,11.22115448,31212,3.439642062
Cámaras de Diputados y Senadores,Quintana Roo,346477,38.18264971,328835,36.23845628,77644,8.55656697,24736,2.725970333
Gobiernos Estatales,Quintana Roo,333318,36.73249432,334339,36.84501113,119727,13.19422098,29767,3.280399374
Sindicatos,Quintana Roo,306882,33.81917965,279490,30.80051134,133345,14.69495934,30113,3.318529457
Institutos electorales,Quintana Roo,240016,26.45037579,323999,35.70551674,188801,20.80635208,60537,6.671331908
Empresarios,Quintana Roo,255038,28.10583853,300694,33.13724626,189729,20.90862004,33548,3.697075224
Medios de comunicación,Quintana Roo,225711,24.87392828,314433,34.65131912,202836,22.3530449,63616,7.010645567
Gobierno Federal,Quintana Roo,278890,30.73438981,257729,28.4023936,186623,20.56633092,71157,7.841683013
Jueces y Magistrados,Quintana Roo,277173,30.54517203,244438,26.93769148,191351,21.08736858,39189,4.318727822
Comisiones de Derechos Humanos,Quintana Roo,155812,17.17088008,227577,25.07956624,246961,27.21573252,101241,11.1570166
Hospitales públicos,Quintana Roo,149992,16.52950122,222554,24.52601882,332701,36.66449935,82440,9.085098411
Instituciones religiosas,Quintana Roo,116860,12.87827026,155581,17.14542329,310820,34.2531573,186559,20.55927795
Universidades públicas,Quintana Roo,87402,9.631923475,178251,19.64371515,315582,34.77794186,58263,6.420731304
Escuelas públicas de nivel básico,Quintana Roo,82649,9.108130744,179297,19.75898702,384947,42.4221419,145091,15.98939851
ONG's,Quintana Roo,67679,7.458398537,192902,21.25829274,317532,34.99283683,148681,16.38502568
Organismos Autónomos Públicos/Descentralizados,Quintana Roo,74542,8.214718653,160376,17.67384453,359146,39.57880585,152662,16.82374204
Guardia Nacional,Quintana Roo,83240,9.173260453,130997,14.43620374,275904,30.40532499,118861,13.09878557
Ejército y Marina,Quintana Roo,70176,7.73357431,136516,15.04441163,362108,39.90522581,198932,21.92281413
Compañeros de trabajo,Quintana Roo,46408,5.114280047,133805,14.74565251,271888,29.96275154,176983,19.50397831
Familiares,Quintana Roo,20910,2.304335368,121757,13.41793216,339508,37.41464812,349473,38.51281656
Vecinos,Quintana Roo,21842,2.407044147,77862,8.580591126,317093,34.94445791,295944,32.61378414
,,,,,,,,,
San Luis Potosí,910643,,,,,,,,
Policías,San Luis Potosí,553232,60.75179845,256289,28.14374019,83750,9.196798306,9615,1.055847352
Partidos políticos,San Luis Potosí,466239,51.19887816,311349,34.19001738,103020,11.31288551,14709,1.615232314
Cámaras de Diputados y Senadores,San Luis Potosí,406792,44.67085345,322330,35.39586863,118124,12.97149377,19313,2.120809143
Gobiernos Estatales,San Luis Potosí,362310,39.78617307,361750,39.72467806,144132,15.82749771,24321,2.670750228
Ministerio Público,San Luis Potosí,398875,43.80146775,306289,33.63436605,158974,17.45733509,29750,3.266922383
Gobiernos Municipales,San Luis Potosí,336979,37.0045122,355767,39.06766977,159309,17.49412229,32955,3.618871501
Gobierno Federal,San Luis Potosí,344627,37.84435833,308255,33.85025746,175364,19.25716225,51030,5.603732747
Jueces y Magistrados,San Luis Potosí,278952,30.63242127,341641,37.51645815,191855,21.06808047,31196,3.425711283
Sindicatos,San Luis Potosí,287568,31.57856591,312023,34.26403102,187919,20.6358584,41591,4.567212398
Empresarios,San Luis Potosí,229336,25.18396342,365024,40.08420424,228369,25.07777472,35182,3.863423976
Medios de comunicación,San Luis Potosí,212206,23.302875,339395,37.26981924,261788,28.74759922,63144,6.934001579
Institutos electorales,San Luis Potosí,217670,23.90289059,321878,35.34623338,266450,29.25954518,65242,7.16438824
Universidades públicas,San Luis Potosí,111341,12.22663547,332534,36.51639556,325690,35.76483869,60902,6.687801916
Hospitales públicos,San Luis Potosí,126216,13.86009666,301713,33.13186397,354574,38.93666343,93073,10.2205804
Comisiones de Derechos Humanos,San Luis Potosí,108733,11.94024442,294850,32.37822066,340017,37.33812262,91556,10.05399481
Instituciones religiosas,San Luis Potosí,117475,12.90022545,259492,28.49546968,334008,36.67825921,162533,17.84815784
Escuelas públicas de nivel básico,San Luis Potosí,84080,9.233036437,284300,31.21969861,411590,45.19773391,105462,11.58104768
ONG's,San Luis Potosí,72198,7.928244109,293021,32.17737357,375644,41.25041317,90663,9.955932237
Guardia Nacional,San Luis Potosí,101030,11.0943586,216712,23.7976902,354579,38.9372125,128919,14.15691989
Organismos Autónomos Públicos/Descentralizados,San Luis Potosí,57267,6.288633416,239948,26.34929385,399817,43.90491115,138378,15.19563649
Ejército y Marina,San Luis Potosí,64031,7.031405282,190539,20.92356719,406880,44.68051695,181635,19.94579654
Compañeros de trabajo,San Luis Potosí,49986,5.489088479,179276,19.68674881,318959,35.02569064,185783,20.40129886
Familiares,San Luis Potosí,31547,3.464255477,137354,15.08318847,367135,40.31601846,351830,38.63533789
Vecinos,San Luis Potosí,24076,2.643846161,130231,14.30099391,384885,42.26519064,319774,35.11518784
,,,,,,,,,
Sinaloa,1056400,,,,,,,,
Policías,Sinaloa,588073,55.66764483,316655,29.9749148,88373,8.365486558,20201,1.912249148
Partidos políticos,Sinaloa,451542,42.74346838,341802,32.35535782,144765,13.70361605,39880,3.775085195
Gobiernos Estatales,Sinaloa,351508,33.27413858,380341,36.00350246,180504,17.08670958,38892,3.681560015
Gobiernos Municipales,Sinaloa,307979,29.15363499,376974,35.68477849,217660,20.6039379,46152,4.368799697
Cámaras de Diputados y Senadores,Sinaloa,288775,27.33576297,382794,36.23570617,172661,16.34428247,34052,3.223400227
Gobierno Federal,Sinaloa,336620,31.86482393,327492,31.00075729,189591,17.94689512,85233,8.068250663
Ministerio Público,Sinaloa,259963,24.60838697,382731,36.22974252,183123,17.33462704,59220,5.605831125
Empresarios,Sinaloa,239516,22.67285119,370895,35.10933359,188205,17.81569481,53815,5.094187808
Institutos electorales,Sinaloa,230311,21.80149565,368248,34.85876562,243349,23.03568724,112882,10.68553578
Medios de comunicación,Sinaloa,217796,20.61681181,377634,35.74725483,251357,23.79373343,93729,8.87249148
Jueces y Magistrados,Sinaloa,234297,22.17881484,350348,33.16433169,229012,21.67853086,49944,4.727754638
Sindicatos,Sinaloa,225349,21.3317872,332960,31.51836426,177686,16.81995456,66800,6.323362363
Hospitales públicos,Sinaloa,178805,16.92588035,328010,31.04979175,299739,28.37362741,127870,12.10431655
Universidades públicas,Sinaloa,173891,16.46071564,312970,29.6260886,238091,22.53795911,83654,7.918780765
Comisiones de Derechos Humanos,Sinaloa,111322,10.53786445,288556,27.31503218,301679,28.55726997,153211,14.50312382
Guardia Nacional,Sinaloa,136443,12.91584627,236500,22.38735328,289723,27.4255017,148405,14.04818251
Ejército y Marina,Sinaloa,127586,12.07743279,243027,23.00520636,357774,33.86728512,181749,17.20456267
Escuelas públicas de nivel básico,Sinaloa,107163,10.14416888,256217,24.25378644,334982,31.70976903,153222,14.50416509
Instituciones religiosas,Sinaloa,103944,9.839454752,240442,22.76050738,350072,33.13820523,195671,18.52243468
Familiares,Sinaloa,66549,6.299602423,176020,16.66224915,343036,32.47216963,344332,32.59485044
ONG's,Sinaloa,67970,6.434115865,163935,15.51826959,401609,38.01675502,256304,24.26202196
Organismos Autónomos Públicos/Descentralizados,Sinaloa,37982,3.595418402,171467,16.2312571,355853,33.68544112,277503,26.2687429
Compañeros de trabajo,Sinaloa,62200,5.887921242,128170,12.13271488,280645,26.56616812,196427,18.59399849
Vecinos,Sinaloa,43220,4.091253313,117201,11.09437713,280880,26.58841348,331878,31.41594093
,,,,,,,,,
Sonora,1354384,,,,,,,,
Policías,Sonora,841970,62.16626895,353117,26.07214793,101326,7.481334688,21374,1.578134414
Partidos políticos,Sonora,636805,47.01805396,446209,32.94553096,121877,8.99870347,25286,1.866974211
Ministerio Público,Sonora,457995,33.81574206,467525,34.51938298,204144,15.07283016,51590,3.809111744
Gobiernos Estatales,Sonora,444607,32.8272484,459422,33.92110362,219642,16.2171142,56225,4.151333743
Cámaras de Diputados y Senadores,Sonora,463058,34.18956515,411238,30.36347151,165254,12.20141407,35199,2.598893667
Gobiernos Municipales,Sonora,419873,31.00103073,447583,33.04697929,211681,15.62931931,49196,3.63235242
Jueces y Magistrados,Sonora,336077,24.81401139,449024,33.15337452,222447,16.42421942,59811,4.416103557
Empresarios,Sonora,314412,23.21439119,461520,34.07600799,242058,17.87218396,42656,3.149476072
Institutos electorales,Sonora,305424,22.55076847,455600,33.63890891,282308,20.8440147,104879,7.74366797
Sindicatos,Sonora,347562,25.66199837,410849,30.33474997,201638,14.88780139,65809,4.858961712
Gobierno Federal,Sonora,372160,27.47817458,371243,27.41046852,248329,18.33519888,145864,10.76976692
Medios de comunicación,Sonora,300732,22.20433791,424604,31.35034082,307041,22.67015854,112387,8.298015925
Hospitales públicos,Sonora,220288,16.26481116,369525,27.28362119,388686,28.69836029,145456,10.73964252
Comisiones de Derechos Humanos,Sonora,180042,13.29327576,333113,24.59516651,375421,27.71894825,141632,10.45730015
Instituciones religiosas,Sonora,147239,10.87128909,303650,22.41978641,379419,28.01413779,276417,20.40905681
Guardia Nacional,Sonora,146654,10.82809602,302630,22.34447542,285020,21.04425333,166644,12.30404376
Ejército y Marina,Sonora,144802,10.69135489,300349,22.17605937,376695,27.81301315,218081,16.10185885
Universidades públicas,Sonora,129680,9.574832544,287729,21.24427046,397608,29.35710995,74670,5.51320748
ONG's,Sonora,108478,8.00939763,283480,20.9305485,396654,29.28667202,171437,12.65793158
Organismos Autónomos Públicos/Descentralizados,Sonora,90519,6.683407365,267590,19.75732141,414745,30.62240842,167660,12.37905941
Escuelas públicas de nivel básico,Sonora,83123,6.137328852,272421,20.11401493,476617,35.19068447,261995,19.34421848
Familiares,Sonora,60303,4.452430035,180122,13.29918251,379742,28.03798627,558406,41.22951836
Compañeros de trabajo,Sonora,51710,3.81797186,172843,12.76174261,290104,21.41962693,350794,25.90063084
Vecinos,Sonora,58955,4.352901393,118838,8.77432102,372436,27.49855285,491254,36.27139718
,,,,,,,,,
Tabasco,316563,,,,,,,,
Policías,Tabasco,151211,47.76647934,127387,40.2406472,28010,8.848159766,4372,1.381083702
Partidos políticos,Tabasco,146256,46.20123009,119091,37.61999981,37079,11.71299236,4437,1.40161674
Gobiernos Municipales,Tabasco,113044,35.70979552,143324,45.27503214,42984,13.57833986,7630,2.410262728
Ministerio Público,Tabasco,134610,42.52234152,116467,36.79109687,44061,13.9185565,4370,1.380451916
Gobiernos Estatales,Tabasco,106186,33.5434021,132709,41.92182915,60431,19.08972306,5706,1.802484813
Cámaras de Diputados y Senadores,Tabasco,102965,32.52591111,132606,41.88929218,52559,16.60301425,6897,2.178713242
Sindicatos,Tabasco,94059,29.71256906,122402,38.66592116,58584,18.50626889,10234,3.232847806
Jueces y Magistrados,Tabasco,72460,22.88959859,141314,44.64008744,66897,21.13228646,7832,2.474073091
Institutos electorales,Tabasco,75366,23.80758332,127498,40.27571131,84525,26.70084628,12393,3.914860549
Empresarios,Tabasco,63285,19.99128136,136571,43.14180748,81316,25.687146,7492,2.36666951
Medios de comunicación,Tabasco,64204,20.28158692,131605,41.5730834,91316,28.84607487,14028,4.431345419
Universidades públicas,Tabasco,64063,20.23704602,124978,39.47966124,75588,23.87771155,5958,1.882089821
Gobierno Federal,Tabasco,77196,24.38566731,105541,33.33965119,81341,25.69504332,26773,8.457400265
Hospitales públicos,Tabasco,57105,18.03906331,124652,39.37668016,108014,34.1208543,11014,3.479244258
Comisiones de Derechos Humanos,Tabasco,37561,11.86525273,108935,34.41179165,118041,37.28831228,18544,5.857917697
Escuelas públicas de nivel básico,Tabasco,33576,10.60641958,100292,31.68152943,138691,43.8115004,21254,6.713987421
ONG's,Tabasco,29853,9.430350357,99157,31.322991,122258,38.62043258,14828,4.684059729
Organismos Autónomos Públicos/Descentralizados,Tabasco,25229,7.969661647,102444,32.36133092,127684,40.33446739,22290,7.041252452
Instituciones religiosas,Tabasco,27688,8.746442256,75089,23.72008099,145913,46.09287883,47705,15.06967018
Guardia Nacional,Tabasco,17383,5.491166055,68119,21.51830757,114336,36.11792913,31755,10.03117863
Compañeros de trabajo,Tabasco,17344,5.478846233,67906,21.45102239,111551,35.23816744,30102,9.509007686
Ejército y Marina,Tabasco,14680,4.637307582,70544,22.28434782,144995,45.80288916,45970,14.52159602
Familiares,Tabasco,13074,4.129983605,54346,17.16751484,136992,43.27479838,94071,29.71635978
Vecinos,Tabasco,14354,4.534326501,48125,15.20234519,143906,45.4588818,72094,22.7739818
,,,,,,,,,
Tamaulipas,1965235,,,,,,,,
Policías,Tamaulipas,760707,38.7081952,752837,38.30773419,293023,14.91032879,75130,3.822952471
Partidos políticos,Tamaulipas,673442,34.26775933,803830,40.90248749,303877,15.46262915,73269,3.728256417
Gobiernos Estatales,Tamaulipas,576224,29.32087002,815712,41.50709712,363843,18.51396907,99822,5.079392541
Ministerio Público,Tamaulipas,490692,24.96861698,831055,42.287818,400250,20.36652105,87205,4.437382807
Cámaras de Diputados y Senadores,Tamaulipas,517528,26.33415342,790825,40.24073457,345698,17.59066982,121362,6.175444667
Gobiernos Municipales,Tamaulipas,438548,22.31529563,850231,43.26357916,430881,21.92516417,148505,7.556602645
Jueces y Magistrados,Tamaulipas,428563,21.8072139,768478,39.10361865,410979,20.91246085,149922,7.628705982
Gobierno Federal,Tamaulipas,467452,23.78606121,704369,35.84146425,459601,23.386567,224165,11.4065239
Sindicatos,Tamaulipas,392744,19.984582,776117,39.49232535,397131,20.2078123,152135,7.74131338
Empresarios,Tamaulipas,385324,19.60701901,782273,39.80557033,433862,22.07685086,114995,5.851463057
Medios de comunicación,Tamaulipas,382757,19.4763985,777296,39.55231817,509976,25.94987368,196755,10.01177976
Institutos electorales,Tamaulipas,355476,18.08821846,794485,40.42697184,501333,25.51007895,206574,10.51141467
Hospitales públicos,Tamaulipas,350128,17.81608815,673528,34.27213539,585502,29.79297641,220245,11.20705666
Universidades públicas,Tamaulipas,248965,12.6684595,677732,34.48605383,540155,27.485517,188300,9.581551316
Comisiones de Derechos Humanos,Tamaulipas,261151,13.28853801,650926,33.12204393,579413,29.48314069,252764,12.86176971
Guardia Nacional,Tamaulipas,242677,12.34849776,604135,30.7411073,553077,28.14304651,320561,16.31158615
Instituciones religiosas,Tamaulipas,215726,10.97710961,598707,30.46490623,664517,33.81361517,375450,19.10458546
Ejército y Marina,Tamaulipas,233184,11.86545121,561407,28.56691439,662034,33.68726895,340639,17.33324513
Escuelas públicas de nivel básico,Tamaulipas,186477,9.488788873,603052,30.68599938,658807,33.52306467,301548,15.34411915
ONG's,Tamaulipas,168397,8.568797116,590856,30.06541202,680543,34.62909016,234996,11.95765392
Organismos Autónomos Públicos/Descentralizados,Tamaulipas,143258,7.289611675,540555,27.5058708,721842,36.73056912,366383,18.6432157
Compañeros de trabajo,Tamaulipas,131788,6.705966462,478644,24.35556053,479176,24.38263108,533935,27.16901541
Familiares,Tamaulipas,109765,5.585337123,405612,20.63936374,585715,29.80381481,800532,40.73467041
Vecinos,Tamaulipas,116038,5.90453559,350010,17.81008378,640748,32.60414149,724996,36.89105883
,,,,,,,,,
Tlaxcala,540694,,,,,,,,
Partidos políticos,Tlaxcala,266195,49.23209801,194382,35.95046366,50808,9.396812245,9773,1.807491853
Policías,Tlaxcala,243589,45.05117497,213960,39.57136569,63164,11.68202347,8831,1.633271314
Cámaras de Diputados y Senadores,Tlaxcala,183878,34.00777519,235378,43.5325711,60245,11.14216174,12931,2.391556037
Gobiernos Municipales,Tlaxcala,179857,33.26410132,221384,40.94441588,101361,18.74646288,16664,3.08196503
Ministerio Público,Tlaxcala,169524,31.35303887,226463,41.8837642,96375,17.82431468,12233,2.262462687
Gobiernos Estatales,Tlaxcala,151584,28.03508084,239601,44.31360437,93195,17.23618165,13891,2.569105631
Jueces y Magistrados,Tlaxcala,148310,27.42956275,212121,39.23124725,99255,18.35696346,14053,2.599067125
Institutos electorales,Tlaxcala,133901,24.76465431,223862,41.40271577,117154,21.66733864,25898,4.789770184
Gobierno Federal,Tlaxcala,153795,28.44399975,187744,34.7227822,113799,21.0468398,26812,4.958812193
Medios de comunicación,Tlaxcala,125173,23.15043259,209283,38.70636626,130784,24.18817298,23337,4.316119654
Empresarios,Tlaxcala,100105,18.51416883,206595,38.2092274,99318,18.36861515,21521,3.980255006
Sindicatos,Tlaxcala,118051,21.83323654,185166,34.24598756,87038,16.09745993,27335,5.055539732
Universidades públicas,Tlaxcala,92944,17.18975983,190996,35.32423145,127150,23.51607379,14932,2.761635972
Hospitales públicos,Tlaxcala,76878,14.2183934,179705,33.2359893,195372,36.13356168,36199,6.694914314
Comisiones de Derechos Humanos,Tlaxcala,61828,11.43493362,169680,31.38189068,175886,32.52967483,45831,8.47632857
Escuelas públicas de nivel básico,Tlaxcala,61563,11.38592254,155459,28.75175238,243090,44.95888617,40184,7.431930075
Instituciones religiosas,Tlaxcala,68631,12.69313142,141732,26.21297814,187702,34.71501441,99273,18.36029251
ONG's,Tlaxcala,40084,7.413435326,157620,29.15142391,202449,37.44243509,40291,7.451719457
Organismos Autónomos Públicos/Descentralizados,Tlaxcala,31928,5.905003569,129070,23.87117297,208692,38.59706229,58889,10.89137294
Ejército y Marina,Tlaxcala,34367,6.356090506,102928,19.0362756,222726,41.19261542,78147,14.45309177
Guardia Nacional,Tlaxcala,40523,7.494627275,88415,16.35213263,194347,35.9439905,65310,12.07892079
Compañeros de trabajo,Tlaxcala,28250,5.224766689,88823,16.42759121,154271,28.53203476,122225,22.60520738
Familiares,Tlaxcala,24766,4.580409622,82112,15.18640858,195098,36.08288607,214682,39.70489778
Vecinos,Tlaxcala,16461,3.044420689,71252,13.1778788,240586,44.49577765,181532,33.57388837
,,,,,,,,,
Veracruz de Ignacio de la Llave,1994079,,,,,,,,
Partidos políticos,Veracruz de Ignacio de la Llave,965331,48.40986741,716157,35.91417391,194970,9.777446129,52472,2.631390231
Policías,Veracruz de Ignacio de la Llave,1068568,53.58704445,607086,30.44443074,202506,10.15536496,45036,2.258486249
Ministerio Público,Veracruz de Ignacio de la Llave,827166,41.48110481,724764,36.34580175,256553,12.86573902,69014,3.460946131
Cámaras de Diputados y Senadores,Veracruz de Ignacio de la Llave,756044,37.91444572,711330,35.67210727,319083,16.00152251,46823,2.348101555
Jueces y Magistrados,Veracruz de Ignacio de la Llave,702722,35.24042929,728029,36.50953648,284152,14.24978649,65093,3.264314002
Gobiernos Estatales,Veracruz de Ignacio de la Llave,621116,31.14801369,764568,38.34191123,364199,18.26402063,116661,5.85037002
Sindicatos,Veracruz de Ignacio de la Llave,670395,33.61927988,689110,34.55780839,264120,13.24521245,100647,5.047292509
Gobiernos Municipales,Veracruz de Ignacio de la Llave,571200,28.64480294,782137,39.2229696,399783,20.04850359,122984,6.167458762
Medios de comunicación,Veracruz de Ignacio de la Llave,541025,27.13157302,785610,39.39713522,401908,20.15506908,130856,6.562227474
Institutos electorales,Veracruz de Ignacio de la Llave,567627,28.46562248,742235,37.22194557,443718,22.25177638,124300,6.233454141
Empresarios,Veracruz de Ignacio de la Llave,500613,25.10497327,764455,38.33624445,419680,21.04630759,91897,4.608493445
Gobierno Federal,Veracruz de Ignacio de la Llave,603029,30.24097842,624258,31.30558017,421549,21.14003507,193282,9.692795521
Universidades públicas,Veracruz de Ignacio de la Llave,315200,15.80679602,680457,34.12387373,600670,30.12267819,72035,3.612444642
Hospitales públicos,Veracruz de Ignacio de la Llave,321114,16.10337404,631652,31.67637792,686351,34.41944878,238300,11.9503791
Comisiones de Derechos Humanos,Veracruz de Ignacio de la Llave,348661,17.48481379,603181,30.24860098,566784,28.42334732,217348,10.89966847
Instituciones religiosas,Veracruz de Ignacio de la Llave,322410,16.16836645,585434,29.35861618,613359,30.75901206,391191,19.61762799
ONG's,Veracruz de Ignacio de la Llave,221116,11.08862788,579634,29.06775509,645137,32.35262996,269014,13.49063904
Escuelas públicas de nivel básico,Veracruz de Ignacio de la Llave,207868,10.42426102,567067,28.43753934,730664,36.64167769,266404,13.35975154
Guardia Nacional,Veracruz de Ignacio de la Llave,231065,11.58755496,511080,25.62987725,556468,27.90601576,269084,13.49414943
Ejército y Marina,Veracruz de Ignacio de la Llave,234994,11.78458827,480310,24.086809,697823,34.99475196,383081,19.21092394
Organismos Autónomos Públicos/Descentralizados,Veracruz de Ignacio de la Llave,212662,10.66467276,487951,24.46999342,731848,36.70105347,301390,15.11424572
Compañeros de trabajo,Veracruz de Ignacio de la Llave,109783,5.505448881,333144,16.70666007,458103,22.97316205,413423,20.73252865
Familiares,Veracruz de Ignacio de la Llave,73522,3.687015409,268008,13.44018968,572972,28.73366602,1040098,52.15931766
Vecinos,Veracruz de Ignacio de la Llave,111481,5.590600974,193636,9.710548078,660226,33.10932014,845198,42.38538192
,,,,,,,,,
Yucatán,835285,,,,,,,,
Partidos políticos,Yucatán,386537,46.27606146,261516,31.30859527,81068,9.705429883,15081,1.805491539
Policías,Yucatán,349088,41.79268154,284841,34.10105533,134048,16.04817517,24313,2.91074304
Cámaras de Diputados y Senadores,Yucatán,256886,30.75429344,277389,33.20890475,100559,12.03888493,17528,2.098445441
Ministerio Público,Yucatán,240379,28.77808173,274244,32.83238655,141177,16.90165632,25716,3.078709662
Empresarios,Yucatán,192983,23.10385078,317474,38.00786558,161087,19.28527389,27768,3.324374315
Gobiernos Municipales,Yucatán,195916,23.45498842,285921,34.23035251,193595,23.17711919,34614,4.143974811
Jueces y Magistrados,Yucatán,182146,21.8064493,287110,34.37269914,153483,18.37492592,36200,4.333850123
Gobierno Federal,Yucatán,222713,26.66311498,236521,28.31620345,185003,22.14848824,60191,7.206043446
Sindicatos,Yucatán,217918,26.08905942,233627,27.96973488,144159,17.25866022,39823,4.767594294
Medios de comunicación,Yucatán,158402,18.96382672,281830,33.74057956,208908,25.01038568,51893,6.212610067
Gobiernos Estatales,Yucatán,159936,19.14747661,271358,32.48687574,233906,28.00313665,50439,6.038537745
Institutos electorales,Yucatán,188144,22.52452756,239639,28.68948922,197547,23.65025111,57781,6.91751917
Hospitales públicos,Yucatán,147873,17.70329887,258487,30.94596455,249641,29.88692482,79695,9.54105485
Universidades públicas,Yucatán,101171,12.11215334,202007,24.1842006,258554,30.95398577,44456,5.322255278
Comisiones de Derechos Humanos,Yucatán,94456,11.30823611,182916,21.8986334,279915,33.5113165,78501,9.398109627
Instituciones religiosas,Yucatán,86498,10.3555074,186408,22.3166943,272559,32.630659,149715,17.92382241
Escuelas públicas de nivel básico,Yucatán,74147,8.876850416,168655,20.19131195,328382,39.31376716,138376,16.56632167
Organismos Autónomos Públicos/Descentralizados,Yucatán,65501,7.841754611,155186,18.57880843,286443,34.29284615,101994,12.21068258
Ejército y Marina,Yucatán,59879,7.168690926,153345,18.35840462,248052,29.69669035,131161,15.70254464
Guardia Nacional,Yucatán,54971,6.581107047,148988,17.83678625,193276,23.13892863,82558,9.883812112
ONG's,Yucatán,46291,5.541940775,156669,18.75635262,304049,36.40062973,108774,13.02238158
Compañeros de trabajo,Yucatán,62786,7.516715851,131425,15.73415062,224330,26.8567016,150719,18.0440209
Familiares,Yucatán,33557,4.017431176,105761,12.66166638,280225,33.54842958,345348,41.34493017
Vecinos,Yucatán,29460,3.526939907,79848,9.559371951,249876,29.91505893,307619,36.82802876
,,,,,,,,,
Zacatecas,288734,,,,,,,,
Policías,Zacatecas,133252,46.15043604,123794,42.8747567,25559,8.852092237,1278,0.442621929
Partidos políticos,Zacatecas,123089,42.63058732,125139,43.34058337,31684,10.9734219,4001,1.385704489
Cámaras de Diputados y Senadores,Zacatecas,103650,35.89809305,137002,47.44920931,31347,10.85670548,6270,2.1715489
Gobiernos Estatales,Zacatecas,103676,35.90709788,136824,47.38756087,39966,13.84180595,2101,0.727659368
Gobierno Federal,Zacatecas,100066,34.65681215,129898,44.98881323,46816,16.21423178,5533,1.916296661
