"Entidad federativa  
   Instituciones y sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Instituciones religiosas,Coahuila de Zaragoza,150169,9.405508056,385305,24.13273899,621912,38.9521028,340451,21.32340645
Guardia Nacional,Coahuila de Zaragoza,145304,9.100799383,377306,23.63173906,547270,34.2770638,256322,16.05416987
Organismos Autónomos Públicos/Descentralizados,Coahuila de Zaragoza,118298,7.409337426,398687,24.9708914,634072,39.7137179,296626,18.57852308
Escuelas públicas de nivel básico,Coahuila de Zaragoza,118453,7.419045513,393189,24.62653615,730362,45.74463221,262893,16.46573014
Compañeros de trabajo,Coahuila de Zaragoza,107692,6.74505373,353012,22.11013731,493526,30.91092548,355345,22.25625968
Ejército y Marina,Coahuila de Zaragoza,118751,7.437710094,328850,20.5968031,637291,39.91533295,372986,23.36116527
Familiares,Coahuila de Zaragoza,79265,4.964590535,305220,19.11678954,624807,39.13342482,539799,33.80913399
Vecinos,Coahuila de Zaragoza,71786,4.496159669,216720,13.57378491,609211,38.15660335,613930,38.45216763
,,,,,,,,,
Colima,342597,,,,,,,,
Partidos políticos,Colima,156824,45.77506516,128701,37.56629509,30779,8.984024962,4809,1.40369005
Policías,Colima,144291,42.11683115,131311,38.32812313,41811,12.20413489,8442,2.464119651
Gobiernos Estatales,Colima,121051,35.33335085,135257,39.47991372,50125,14.63089286,11287,3.2945414
Cámaras de Diputados y Senadores,Colima,106747,31.15818294,141356,41.26013946,46575,13.59468997,11268,3.288995525
Ministerio Público,Colima,107805,31.46700059,133597,38.99537941,60816,17.75146893,14845,4.333079391
Jueces y Magistrados,Colima,91693,26.76409893,134765,39.33630475,57571,16.80429192,15143,4.420062055
Gobiernos Municipales,Colima,82121,23.97014568,139221,40.63695829,73222,21.37263315,18404,5.371909269
Sindicatos,Colima,91281,26.64384101,128270,37.44049131,54138,15.80223995,16657,4.861980695
Empresarios,Colima,72636,21.2015867,141420,41.2788203,72552,21.1770681,12002,3.503241418
Medios de comunicación,Colima,78499,22.91292685,135088,39.43058462,85846,25.05742899,18959,5.533907185
Gobierno Federal,Colima,100875,29.4442158,107921,31.50085961,71717,20.93334151,31958,9.328161076
Institutos electorales,Colima,83685,24.42665873,122382,35.72185396,84085,24.54341398,26617,7.769186537
Hospitales públicos,Colima,56898,16.60785121,117317,34.24344054,107791,31.46291415,33809,9.868446017
Instituciones religiosas,Colima,49050,14.31711311,112594,32.86485287,93747,27.36363716,54769,15.98642136
Comisiones de Derechos Humanos,Colima,53757,15.69103057,104373,30.4652405,108097,31.55223192,35048,10.23009542
Universidades públicas,Colima,42028,12.26747461,110788,32.3377029,114409,33.39462984,24989,7.29399265
ONG's,Colima,25417,7.418920773,104572,30.52332624,115681,33.76591155,35829,10.45806005
Organismos Autónomos Públicos/Descentralizados,Colima,22969,6.704378614,104244,30.42758693,130419,38.06775891,38813,11.32905425
Guardia Nacional,Colima,28604,8.349168265,85227,24.87675023,105168,30.69729157,56043,16.35828685
Escuelas públicas de nivel básico,Colima,24486,7.147172917,87401,25.51131504,135768,39.62906856,62922,18.36618534
Ejército y Marina,Colima,28562,8.336908963,78855,23.01683903,130619,38.12613654,70341,20.53170343
Compañeros de trabajo,Colima,17126,4.998876231,60111,17.54568779,92720,27.06386804,97204,28.37269445
Familiares,Colima,14159,4.132844129,48346,14.11162386,101271,29.5598035,162845,47.53252364
Vecinos,Colima,11860,3.461793302,40900,11.93822479,109985,32.10331672,137582,40.15855364
,,,,,,,,,
Chiapas,782349,,,,,,,,
Policías,Chiapas,414781,53.01738738,287069,36.69321492,63521,8.119266465,7230,0.924139994
Partidos políticos,Chiapas,368808,47.14110966,303625,38.80940603,70743,9.042383898,20352,2.601396563
Cámaras de Diputados y Senadores,Chiapas,256993,32.8488948,323061,41.2937193,98130,12.54299552,31653,4.045892562
Ministerio Público,Chiapas,264374,33.79233565,298099,38.10307165,139627,17.84715006,27904,3.566694659
Gobiernos Municipales,Chiapas,241376,30.85272685,320208,40.92904829,141601,18.09946712,27474,3.511731976
Gobiernos Estatales,Chiapas,257943,32.97032399,291694,37.28438331,156950,20.06137926,31210,3.989268217
Institutos electorales,Chiapas,207839,26.56602105,325699,41.63090897,174970,22.36469913,48359,6.181256703
Sindicatos,Chiapas,205463,26.26232027,320509,40.96752217,142427,18.2050466,29617,3.78565065
Empresarios,Chiapas,188493,24.0932116,327466,41.85676725,161371,20.62647233,26389,3.373047067
Jueces y Magistrados,Chiapas,191511,24.47897294,323730,41.37923101,146406,18.71364314,31744,4.0575242
Gobierno Federal,Chiapas,230079,29.40874213,267747,34.22347316,161077,20.58889319,63576,8.126296576
Medios de comunicación,Chiapas,190000,24.28583663,306444,39.16973116,187129,23.91886485,57566,7.358097217
Universidades públicas,Chiapas,174222,22.26908963,306519,39.17931767,191719,24.50555954,27643,3.533333589
Hospitales públicos,Chiapas,165148,21.1092492,280208,35.81624058,247261,31.60494869,50409,6.443288098
Comisiones de Derechos Humanos,Chiapas,110677,14.14675548,236029,30.16927228,277130,35.42281002,86902,11.10783039
ONG's,Chiapas,92902,11.87475155,207062,26.46670476,291248,37.22737551,82513,10.54682757
Escuelas públicas de nivel básico,Chiapas,87958,11.24280852,207844,26.56666015,341903,43.70210737,118930,15.20165553
Instituciones religiosas,Chiapas,73441,9.387242778,174815,22.344887,283335,36.21593432,211856,27.07947476
Organismos Autónomos Públicos/Descentralizados,Chiapas,56851,7.26670578,175784,22.46874477,319459,40.83331096,122072,15.60326657
Ejército y Marina,Chiapas,63372,8.100221257,141728,18.11570028,290875,37.17969857,195521,24.99153191
Guardia Nacional,Chiapas,58693,7.502150575,137108,17.52517099,249148,31.84614539,169085,21.6124773
Compañeros de trabajo,Chiapas,51043,6.5243261,136689,17.47161433,230839,29.50588548,175931,22.48753434
Familiares,Chiapas,20214,2.583757377,104578,13.36718012,272859,34.87688998,359301,45.92592309
Vecinos,Chiapas,24341,3.111271312,89943,11.4965316,265678,33.95901318,341971,43.71079914
,,,,,,,,,
Chihuahua,1978450,,,,,,,,
Policías,Chihuahua,1043583,52.74750436,686372,34.69241073,195043,9.85837398,21653,1.094442619
Partidos políticos,Chihuahua,818501,41.37082059,850436,42.98496298,193945,9.802875989,56314,2.846369633
Gobiernos Estatales,Chihuahua,727731,36.78288559,824260,41.66190705,313134,15.82723849,36628,1.851348278
Cámaras de Diputados y Senadores,Chihuahua,531306,26.85465895,950672,48.05135333,304328,15.38214259,58600,2.96191463
Gobiernos Municipales,Chihuahua,581336,29.3834062,866837,43.81394526,342752,17.324269,104501,5.281963153
Empresarios,Chihuahua,485148,24.52162046,942403,47.63339988,358541,18.12231798,48051,2.428719452
Gobierno Federal,Chihuahua,614927,31.08125047,788052,39.83178751,384124,19.41540095,79445,4.015517198
Ministerio Público,Chihuahua,464262,23.46594556,920822,46.54259648,400147,20.22527736,83157,4.203138821
Jueces y Magistrados,Chihuahua,410853,20.76640805,889302,44.94943011,426473,21.55591498,88416,4.468952968
Sindicatos,Chihuahua,419332,21.19497586,803607,40.61800905,399065,20.17058809,103397,5.226161894
Institutos electorales,Chihuahua,383075,19.36237964,820351,41.46432814,517651,26.16447219,138817,7.016452273
Medios de comunicación,Chihuahua,333603,16.86183629,785942,39.72513837,620792,31.37769466,146985,7.429300715
Hospitales públicos,Chihuahua,339456,17.15767394,667565,33.74181809,749019,37.85887943,127354,6.437059314
Guardia Nacional,Chihuahua,233866,11.82066769,673870,34.06050191,611549,30.91051075,209002,10.56392631
Comisiones de Derechos Humanos,Chihuahua,254014,12.83904066,645971,32.6503576,679287,34.33430211,219228,11.08079557
Ejército y Marina,Chihuahua,213247,10.77848821,652785,32.99476863,640685,32.38317875,248913,12.58121257
Universidades públicas,Chihuahua,220133,11.12653845,615409,31.10561298,757903,38.30791781,122082,6.170588087
Instituciones religiosas,Chihuahua,225625,11.4041295,569398,28.78000455,724131,36.60092497,354256,17.90573429
ONG's,Chihuahua,138482,6.999519826,586202,29.62935631,822367,41.56622609,265753,13.43238394
Organismos Autónomos Públicos/Descentralizados,Chihuahua,123849,6.259900427,528829,26.72945993,857211,43.32740276,299018,15.11375066
Escuelas públicas de nivel básico,Chihuahua,125652,6.351032374,406324,20.53749147,993616,50.22194142,334291,16.89661098
Compañeros de trabajo,Chihuahua,89057,4.501352069,330292,16.69448305,619646,31.31977053,475145,24.01602264
Familiares,Chihuahua,84273,4.259546615,233584,11.80641411,600748,30.36457833,1013246,51.21413228
Vecinos,Chihuahua,78021,3.943541661,205652,10.39460183,793397,40.1019485,762831,38.55700169
,,,,,,,,,
Ciudad de México,6940053,,,,,,,,
Policías,Ciudad de México,4359197,62.8121572,1837753,26.48038855,508433,7.326067971,93381,1.345537275
Partidos políticos,Ciudad de México,4074854,58.7150271,2096075,30.20257914,443557,6.39126243,87740,1.264255475
Ministerio Público,Ciudad de México,4152357,59.8317765,1860527,26.80854166,541152,7.797519702,110927,1.598359551
Cámaras de Diputados y Senadores,Ciudad de México,3379362,48.69360508,2385979,34.37983831,593685,8.554473575,127147,1.832075346
Jueces y Magistrados,Ciudad de México,3104106,44.72741058,2399327,34.57217113,780301,11.24344439,170418,2.455572025
Gobiernos Municipales,Ciudad de México,2514497,36.23166855,2606036,37.55066424,1211542,17.4572442,233419,3.363360482
Medios de comunicación,Ciudad de México,2163636,31.17607315,2922949,42.11709911,1236850,17.82191001,237078,3.416083422
Empresarios,Ciudad de México,2286702,32.94934491,2713127,39.09375044,1209699,17.43068821,189871,2.735872478
Sindicatos,Ciudad de México,2656777,38.28179698,2301274,33.15931449,808188,11.6452713,213130,3.071014011
Institutos electorales,Ciudad de México,2316952,33.38522055,2579711,37.17134437,1316235,18.96577735,327653,4.721188729
