"Entidad federativa  
   Diversas instituciones y    
   sectores",,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Institutos electorales,Chihuahua,605196,32.48596578,607412,32.60491716,364626,19.572548,148234,7.956967083
Medios de comunicación,Chihuahua,497640,26.71252951,650561,34.92108735,441510,23.69955973,149327,8.015637598
Sindicatos,Chihuahua,500290,26.85477733,641580,34.43900145,314636,16.88916372,164519,8.831120172
Hospitales públicos,Chihuahua,427646,22.9553621,518982,27.85813437,598024,32.10098414,198764,10.6693377
Universidades públicas,Chihuahua,361009,19.37839315,572533,30.73266751,482752,25.91336518,101028,5.423023534
Ejército y Marina,Chihuahua,366282,19.66143946,517401,27.77326879,535801,28.76095174,227704,12.22279121
Comisiones de derechos humanos,Chihuahua,349020,18.73484256,487538,26.1702701,630994,33.87076169,215327,11.55841339
Escuelas públicas,Chihuahua,302427,16.23380388,478977,25.71072914,658975,35.37273759,279523,15.00435332
Instituciones religiosas,Chihuahua,285632,15.33227479,405093,21.74475267,588913,31.61192004,406554,21.82317684
Compañeros del trabajo,Chihuahua,230697,12.38345073,354464,19.02706788,491588,26.3876677,321349,17.24950696
Familiares,Chihuahua,193174,10.36927533,301056,16.16021076,672032,36.07361673,619707,33.26489335
Vecinos,Chihuahua,192815,10.35000478,265905,14.27336058,565254,30.34194228,615750,33.05248783
,,,,,,,,,
Ciudad de México,7156090,,,,,,,,
Partidos políticos,Ciudad de México,5104418,73.87959423,1462942,21.17412041,220966,3.198186046,42782,0.619211985
Policías,Ciudad de México,4799005,69.45915129,1701577,24.62804149,324539,4.6972661,27804,0.402425553
Diputados y Senadores,Ciudad de México,4716436,68.26407592,1677012,24.27249612,274445,3.972222737,33788,0.489035916
Gobierno Federal,Ciudad de México,4924272,71.27222285,1448169,20.96030108,294466,4.261999819,55386,0.801637955
Ministerio Público,Ciudad de México,4575617,66.22591005,1750326,25.33361779,380443,5.506401409,70576,1.021492801
Gobiernos Estatales,Ciudad de México,4292253,62.12459676,1983967,28.71525743,419904,6.077546379,77828,1.12645576
Gobiernos Municipales,Ciudad de México,3887784,56.27045128,2193476,31.74761879,500092,7.23815997,132772,1.921696359
Institutos electorales,Ciudad de México,3822712,55.32862148,2184736,31.62111903,618647,8.95408435,97484,1.410949958
Medios de comunicación,Ciudad de México,2864046,41.45321883,2789071,40.36805641,958962,13.87968686,139804,2.023475113
Jueces y magistrados,Ciudad de México,3403230,49.25718299,2196253,31.78781214,821214,11.88596958,164478,2.380598121
Empresarios,Ciudad de México,2535156,36.69297784,2709955,39.22295858,1129613,16.34963086,130483,1.888566159
Sindicatos,Ciudad de México,2613050,37.82038887,2464010,35.66323506,795766,11.51764397,189593,2.744104011
Instituciones religiosas,Ciudad de México,1532767,22.18474349,2141074,30.98917023,2139576,30.96748869,710036,10.27681737
Comisiones de derechos humanos,Ciudad de México,1471382,21.29627807,2098666,30.37537139,2272050,32.8848719,475680,6.88482906
Ejército y Marina,Ciudad de México,1538124,22.26227887,2015845,29.17664867,2303100,33.33427895,612231,8.861221368
Hospitales públicos,Ciudad de México,986786,14.28240189,2125949,30.77025617,2749262,39.7918746,618566,8.952911984
Universidades públicas,Ciudad de México,933711,13.51421255,2147782,31.08625952,2572911,37.23943076,400415,5.795469282
Escuelas públicas,Ciudad de México,659381,9.543654286,1664220,24.0873491,3039379,43.99092849,958109,13.86734083
Vecinos,Ciudad de México,451152,6.529819207,1255684,18.17433925,2896290,41.91990741,1701887,24.63252833
Compañeros del trabajo,Ciudad de México,445280,6.444829894,1213596,17.56517198,2349695,34.00867898,1393565,20.16998152
Familiares,Ciudad de México,241210,3.491190754,867355,12.55379858,2750260,39.80631931,2768657,40.07259118
,,,,,,,,,
Durango,637812,,,,,,,,
Policías,Durango,389631,60.60626329,177209,27.56447847,56366,8.767609961,9924,1.543656837
Partidos políticos,Durango,363110,56.48097883,191973,29.86098689,53571,8.332853727,17627,2.741841904
Diputados y Senadores,Durango,316655,49.25500359,198641,30.89817993,70862,11.02243156,12617,1.962547189
Gobierno Federal,Durango,313862,48.82055845,199048,30.96148791,79443,12.35718763,17426,2.710576787
Ministerio Público,Durango,230979,35.92828622,217386,33.81392433,105386,16.39256544,35381,5.503438385
Gobiernos Estatales,Durango,218829,34.03837988,217123,33.77301525,131867,20.51162798,37331,5.806756687
Gobiernos Municipales,Durango,189810,29.5245369,229788,35.74302873,147819,22.99292724,42256,6.572829835
Institutos electorales,Durango,211182,32.84890549,203749,31.69271834,132258,20.57244719,55293,8.600707121
Sindicatos,Durango,191563,29.79721227,216501,33.67626449,101951,15.85825858,47887,7.448719763
Jueces y magistrados,Durango,181649,28.25511091,211504,32.89899189,130057,20.23008638,40071,6.232957789
Empresarios,Durango,168401,26.19441303,223551,34.77287681,133834,20.81759059,30283,4.71045546
