"Entidad federativa  
   Diversas instituciones y    
   sectores",,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Gobierno Federal,Sinaloa,566709,55.30173953,269431,26.29215873,89931,8.775828049,21594,2.107229219
Diputados y Senadores,Sinaloa,481159,46.95342705,343816,33.55094569,97603,9.524492612,21478,2.095909473
Gobiernos Estatales,Sinaloa,478513,46.69521975,339432,33.12313737,113827,11.10769567,31704,3.09380361
Gobiernos Municipales,Sinaloa,429338,41.89652581,353168,34.46355139,145813,14.22901797,30137,2.940889459
Institutos electorales,Sinaloa,402746,39.30157169,351665,34.31688262,166384,16.23641874,42889,4.185280818
Ministerio Público,Sinaloa,284306,27.74372096,430222,41.98279008,174747,17.05251386,51353,5.01123192
Jueces y magistrados,Sinaloa,321173,31.34135084,351722,34.32244491,173031,16.88505969,39153,3.820706938
Medios de comunicación,Sinaloa,252985,24.68729202,406295,39.64789736,229890,22.4335892,61767,6.027471852
Empresarios,Sinaloa,272761,26.6171135,364066,35.52702199,225314,21.98704475,39955,3.898969318
Sindicatos,Sinaloa,270950,26.44038885,317030,30.93706026,171446,16.73038903,44694,4.361419965
Universidades públicas,Sinaloa,212621,20.74841084,323211,31.54022706,307968,30.05275392,41793,4.078328737
Hospitales públicos,Sinaloa,182100,17.77004912,344965,33.66306972,344658,33.63311143,68554,6.689774561
Ejército y Marina,Sinaloa,168965,16.48828309,308507,30.1053517,320575,31.2829956,130234,12.7087566
Comisiones de derechos humanos,Sinaloa,148157,14.4577549,231267,22.56796239,365327,35.65007543,134774,13.15178803
Escuelas públicas,Sinaloa,112620,10.98991176,229590,22.40431399,468717,45.73928674,126247,12.31968914
Instituciones religiosas,Sinaloa,112448,10.97312731,193099,18.8433757,375080,36.60181233,217570,21.23135413
Compañeros del trabajo,Sinaloa,65954,6.436056123,137371,13.40521372,257557,25.13344614,203178,19.82692499
Familiares,Sinaloa,31830,3.106099196,136743,13.34393096,349452,34.10092919,446793,43.59985479
Vecinos,Sinaloa,30748,3.000513292,115868,11.30686465,306520,29.91145226,367303,35.84290145
,,,,,,,,,
Sonora,1211731,,,,,,,,
Policías,Sonora,925632,71.54759613,280289,21.66520191,66168,5.114517801,11956,0.924150266
Partidos políticos,Sonora,785383,60.70691775,371975,28.75215752,105416,8.148228879,14107,1.090413835
Gobierno Federal,Sonora,746654,57.71332327,386080,29.84241677,114237,8.830056372,11376,0.879318621
Diputados y Senadores,Sonora,691743,53.46892587,371567,28.72062078,148178,11.45355789,20197,1.561146113
Gobiernos Municipales,Sonora,557096,43.06125935,457853,35.39017831,202252,15.63325859,40065,3.096861862
Ministerio Público,Sonora,582088,44.9930395,414070,32.00593014,191052,14.76754405,54582,4.218967033
Gobiernos Estatales,Sonora,578244,44.6959139,400723,30.97426122,219063,16.93268065,61182,4.729120241
Institutos electorales,Sonora,517079,39.96810769,434630,33.59513468,216984,16.77198239,65912,5.09473004
Jueces y magistrados,Sonora,416378,32.18432918,455395,35.20018489,258363,19.97041111,70597,5.456861522
Sindicatos,Sonora,422977,32.69440509,447748,34.60910283,246603,19.06141085,62451,4.827208789
Empresarios,Sonora,348860,26.96546185,515007,39.80795051,312554,24.15915543,51359,3.969842216
Medios de comunicación,Sonora,398677,30.81611373,447878,34.61915131,311106,24.04723091,85492,6.608184558
Comisiones de derechos humanos,Sonora,230974,17.8533526,397870,30.75373591,435455,33.65890384,121723,9.408693784
Hospitales públicos,Sonora,240831,18.61525868,368575,28.48935132,463093,35.79520904,151632,11.72053807
Ejército y Marina,Sonora,224881,17.38238843,338626,26.1744152,427976,33.0808075,187312,14.47845723
Universidades públicas,Sonora,142407,11.00748302,380229,29.39015822,477718,36.92566217,114586,8.857032655
Escuelas públicas,Sonora,135285,10.45698133,328981,25.42889585,560103,43.29368825,206422,15.95558266
Instituciones religiosas,Sonora,135829,10.49903032,253850,19.62157453,518712,40.09433197,303210,23.43690216
Compañeros del trabajo,Sonora,96730,7.476836339,263472,20.36531607,417894,32.30150982,336425,26.00428683
Familiares,Sonora,70937,5.483142142,177807,13.74375932,510502,39.45973229,493565,38.15057095
Vecinos,Sonora,54515,4.213788204,159903,12.3598528,523492,40.46380656,475687,36.76867412
,,,,,,,,,
Tabasco,300354,,,,,,,,
Policías,Tabasco,167965,55.81660425,110625,36.7618959,19342,6.42755788,757,0.251559369
Partidos políticos,Tabasco,184778,61.4037478,92190,30.63574403,17375,5.773902294,2487,0.826457266
Gobiernos Estatales,Tabasco,157789,52.43500829,109753,36.47212078,25461,8.46096842,3017,1.002582056
Gobierno Federal,Tabasco,166536,55.34173194,95277,31.66158785,24590,8.171525606,2125,0.706160712
Gobiernos Municipales,Tabasco,136170,45.25077844,121338,40.32194282,35769,11.88642942,2392,0.794887729
Ministerio Público,Tabasco,138242,45.93932667,113572,37.74121619,36116,12.00174131,5065,1.683154827
Diputados y Senadores,Tabasco,138925,46.16629503,110412,36.69111367,31338,10.41395972,3402,1.130521761
Institutos electorales,Tabasco,115841,38.49522968,123889,41.16966799,43462,14.44289735,8220,2.73159579
Sindicatos,Tabasco,111307,36.98853195,108984,36.21657367,42169,14.01321933,7340,2.439162178
Jueces y magistrados,Tabasco,95321,31.67620953,114386,38.01171728,59975,19.93034763,8559,2.844249193
Empresarios,Tabasco,70253,23.3458393,133367,44.31931092,77641,25.8009524,7166,2.381340077
Medios de comunicación,Tabasco,71471,23.75059401,123258,40.9599798,82183,27.31030862,13655,4.537705659
Universidades públicas,Tabasco,56967,18.93075637,131331,43.64272588,71811,23.86357972,3531,1.17338987
Hospitales públicos,Tabasco,47413,15.75585781,117141,38.92723388,107303,35.65795901,16793,5.580497337
Escuelas públicas,Tabasco,29759,9.889240769,113855,37.83526018,117377,39.00565926,21836,7.256341323
Comisiones de derechos humanos,Tabasco,38466,12.78267198,104827,34.83515717,105714,35.12991696,25929,8.616489933
Ejército y Marina,Tabasco,26968,8.961760982,90561,30.09440953,111016,36.89182947,45741,15.20023395
Instituciones religiosas,Tabasco,23583,7.836888506,71958,23.91242943,133070,44.22061458,54043,17.95907923
Vecinos,Tabasco,12520,4.160532761,57361,19.06168688,132510,44.03452046,69594,23.1268464
Familiares,Tabasco,12415,4.125640114,53599,17.81153318,134911,44.83239899,92278,30.66498739
Compañeros del trabajo,Tabasco,11060,3.675358813,48931,16.26030579,93743,31.15182289,62499,20.7691004
,,,,,,,,,
Tamaulipas,1766559,,,,,,,,
Policías,Tamaulipas,925872,49.77437158,628493,33.78743943,225658,12.13125048,37974,2.04146144
Partidos políticos,Tamaulipas,904017,48.59945875,624559,33.57594974,223108,11.99416387,57473,3.089716999
Gobierno Federal,Tamaulipas,830122,44.62690403,599317,32.21895365,279421,15.02151991,67050,3.604571274
Diputados y Senadores,Tamaulipas,737670,39.65673515,685122,36.83178345,243038,13.06558976,53748,2.88946304
Gobiernos Estatales,Tamaulipas,633376,34.04994683,704136,37.85396567,339087,18.22913139,88678,4.767280707
Gobiernos Municipales,Tamaulipas,577149,31.02721411,710904,38.21780965,381378,20.50267238,117123,6.296468327
Ministerio Público,Tamaulipas,577091,31.02409606,695108,37.36862534,364612,19.60134141,107053,5.755110642
Institutos electorales,Tamaulipas,476147,25.59740191,653269,35.11938362,492908,26.49846409,166102,8.929552539
Empresarios,Tamaulipas,453719,24.39168492,672546,36.15570458,495065,26.61442323,86458,4.647934723
Sindicatos,Tamaulipas,458965,24.673707,655613,35.24539577,408073,21.93778096,134557,7.233710617
Jueces y magistrados,Tamaulipas,411092,22.10008075,679259,36.51659178,479523,25.77889382,129054,6.937872351
Medios de comunicación,Tamaulipas,381359,20.50165095,696245,37.42974984,545739,29.33862971,154755,8.319544034
Universidades públicas,Tamaulipas,228329,12.27484197,635647,34.17203455,646255,34.74231482,140075,7.530355275
Hospitales públicos,Tamaulipas,257409,13.83816685,604638,32.50500769,687578,36.96381666,223872,12.0352361
Comisiones de derechos humanos,Tamaulipas,221909,11.92970629,544345,29.26368904,693534,37.28400796,264751,14.23286874
Ejército y Marina,Tamaulipas,263530,14.16722845,490498,26.36890381,649753,34.93036538,305633,16.43066267
Escuelas públicas,Tamaulipas,165956,8.921703659,557252,29.95756229,794043,42.68731675,266321,14.31727108
Instituciones religiosas,Tamaulipas,109463,5.884670922,358040,19.24803429,734230,39.47180263,562798,30.25571221
Compañeros del trabajo,Tamaulipas,88315,4.747766026,280584,15.08404215,598693,32.18540775,485895,26.12144905
Familiares,Tamaulipas,64717,3.479150472,258935,13.92020377,661754,35.57553257,846622,45.51393499
Vecinos,Tamaulipas,62899,3.381415787,207416,11.15057055,677021,36.39627813,815673,43.8501337
,,,,,,,,,
Tlaxcala,474552,,,,,,,,
Partidos políticos,Tlaxcala,234971,46.87728804,201466,40.19295876,48981,9.771829058,3706,0.739356046
Policías,Tlaxcala,201108,40.12153689,219676,43.82589821,64401,12.8481567,6222,1.241304187
Diputados y Senadores,Tlaxcala,192314,38.36711242,223131,44.51517914,47405,9.457413211,3330,0.664343128
Gobierno Federal,Tlaxcala,208677,41.63157086,193966,38.69669045,61026,12.17483596,10417,2.078216927
Gobiernos Estatales,Tlaxcala,153521,30.62781423,236438,47.16995812,74950,14.95270795,10742,2.14305522
Ministerio Público,Tlaxcala,149717,29.86890695,232503,46.38491602,74415,14.84597414,11584,2.311036276
Institutos electorales,Tlaxcala,161681,32.25575415,211366,42.16803293,89337,17.82294956,14792,2.951040106
Gobiernos Municipales,Tlaxcala,132887,26.51128087,231625,46.20975288,101683,20.2860067,16361,3.264059436
Jueces y magistrados,Tlaxcala,123215,24.58169326,219638,43.81831712,88921,17.73995655,13365,2.666350123
Medios de comunicación,Tlaxcala,132673,26.46858734,207300,41.356856,113844,22.71215588,19455,3.881319988
Empresarios,Tlaxcala,110033,21.95185208,216712,43.23457298,105309,21.00940255,13536,2.70046504
Universidades públicas,Tlaxcala,110402,22.02546848,214605,42.81422133,103910,20.73029864,13914,2.775876963
Sindicatos,Tlaxcala,97511,19.45368252,197621,39.42587188,92447,18.44340216,27214,5.429259427
Hospitales públicos,Tlaxcala,59132,11.79697834,189849,37.8753389,175567,35.02604504,46721,9.320953542
Comisiones de derechos humanos,Tlaxcala,64438,12.85553829,167156,33.34803001,174598,34.83272718,39946,7.969324505
Escuelas públicas,Tlaxcala,51807,10.33562296,172664,34.44688946,195678,39.03823863,45260,9.029480476
Instituciones religiosas,Tlaxcala,48817,9.739110658,155489,31.02043504,177813,35.47412753,95011,18.95492641
Ejército y Marina,Tlaxcala,44175,8.813020327,151099,30.14461932,168620,33.64010159,54947,10.96206062
Compañeros del trabajo,Tlaxcala,27498,5.48591812,126453,25.22768216,115695,23.0814349,79212,15.80298735
Familiares,Tlaxcala,19725,3.935185647,124274,24.79296634,177103,35.33248079,163569,32.63241476
Vecinos,Tlaxcala,18886,3.767803099,118459,23.63285965,191151,38.13509108,146722,29.27139714
,,,,,,,,,
Veracruz de Ignacio de la Llave,1907763,,,,,,,,
Partidos políticos,Veracruz de Ignacio de la Llave,1148799,58.07036185,621678,31.42505035,134080,6.77757738,33813,1.709205131
Policías,Veracruz de Ignacio de la Llave,1018179,51.46768317,718892,36.33909724,180417,9.119855147,15842,0.800793413
Gobierno Federal,Veracruz de Ignacio de la Llave,1171478,59.21675712,556838,28.14746892,145140,7.336646636,30012,1.517069304
Diputados y Senadores,Veracruz de Ignacio de la Llave,1074696,54.32454729,651708,32.94302953,140025,7.078089742,18220,0.920998358
Gobiernos Estatales,Veracruz de Ignacio de la Llave,1002257,50.66284585,661473,33.43663814,222520,11.24810948,20398,1.031093552
Gobiernos Municipales,Veracruz de Ignacio de la Llave,915233,46.2638908,699365,35.35203166,236954,11.97773024,60905,3.078672064
Ministerio Público,Veracruz de Ignacio de la Llave,845682,42.74817418,696716,35.218128,272023,13.75042461,54923,2.776289398
Institutos electorales,Veracruz de Ignacio de la Llave,837758,42.34762583,647077,32.70893823,332112,16.78784889,72469,3.663217893
Jueces y magistrados,Veracruz de Ignacio de la Llave,737003,37.25458578,681512,34.44958469,306270,15.4815679,66322,3.352494682
Medios de comunicación,Veracruz de Ignacio de la Llave,636544,32.17650817,673247,34.03179921,474366,23.97861181,78860,3.986275001
Sindicatos,Veracruz de Ignacio de la Llave,528550,26.71754568,644136,32.56027434,394993,19.9664053,75025,3.792420517
Empresarios,Veracruz de Ignacio de la Llave,481777,24.35322865,675303,34.13572746,503140,25.43310175,41863,2.116122627
Comisiones de derechos humanos,Veracruz de Ignacio de la Llave,345778,17.4786482,650856,32.89996199,612831,30.97784549,170768,8.632110188
Ejército y Marina,Veracruz de Ignacio de la Llave,341605,17.26770824,578054,29.21991136,662684,33.49785269,277266,14.01545174
Universidades públicas,Veracruz de Ignacio de la Llave,323747,16.36500853,498365,25.19173144,760100,38.42211043,101838,5.147784347
Hospitales públicos,Veracruz de Ignacio de la Llave,272059,13.75224436,519352,26.25259821,897911,45.38828522,175701,8.881467208
Escuelas públicas,Veracruz de Ignacio de la Llave,228387,11.54467904,436382,22.05856781,843707,42.64834038,344018,17.38968239
Instituciones religiosas,Veracruz de Ignacio de la Llave,256149,12.94801364,360703,18.23308841,826704,41.78885986,417909,21.12478062
Compañeros del trabajo,Veracruz de Ignacio de la Llave,122097,6.171851621,243893,12.32848807,591158,29.88230227,445925,22.5409546
Vecinos,Veracruz de Ignacio de la Llave,81904,4.140145419,249204,12.59695252,883371,44.65330629,646842,32.69705928
Familiares,Veracruz de Ignacio de la Llave,56421,2.852011436,182447,9.222469125,626596,31.67364914,1059713,53.56717525
,,,,,,,,,
Yucatán,771476,,,,,,,,
Partidos políticos,Yucatán,456739,58.47861046,217607,27.86132777,64421,8.248147333,18881,2.417430182
Policías,Yucatán,390547,50.00371302,246203,31.52261868,120443,15.4209281,13146,1.683149048
Gobierno Federal,Yucatán,405803,51.95701607,225458,28.86653112,89532,11.46323601,23242,2.975791129
Diputados y Senadores,Yucatán,405200,51.87981092,200066,25.61546459,91722,11.74363282,24579,3.146974019
Gobiernos Estatales,Yucatán,253788,32.49376469,278874,35.70565249,180282,23.08241874,31452,4.026959065
Ministerio Público,Yucatán,256243,32.80809079,276145,35.35624478,157661,20.18613739,33990,4.351912076
Empresarios,Yucatán,225335,28.85078281,305547,39.12073195,162262,20.77522675,29608,3.790862393
Institutos electorales,Yucatán,277333,35.50835045,251090,32.14832607,157953,20.22352363,46745,5.984999411
Gobiernos Municipales,Yucatán,230584,29.5228389,285980,36.61546971,182482,23.36409589,39567,5.065963669
Jueces y magistrados,Yucatán,214636,27.48093558,253677,32.4795528,181036,23.17895718,59120,7.569433419
Sindicatos,Yucatán,216604,27.7329086,241781,30.95644759,160416,20.53887401,44074,5.643017735
Medios de comunicación,Yucatán,190302,24.36533015,255655,32.73280617,221719,28.38780799,59422,7.608100011
Hospitales públicos,Yucatán,140402,17.97638009,227852,29.17304708,262348,33.5897449,95337,12.2064796
Universidades públicas,Yucatán,102680,13.14664113,243029,31.11623536,272378,34.87393667,65435,8.377974895
Comisiones de derechos humanos,Yucatán,103755,13.28427883,203804,26.09405968,287188,36.77013608,85466,10.94264541
Escuelas públicas,Yucatán,82094,10.51091115,195397,25.01766884,332678,42.59445147,117953,15.10212077
Ejército y Marina,Yucatán,62483,8.000015364,186153,23.83411264,304056,38.92983166,121642,15.57444215
Instituciones religiosas,Yucatán,77508,9.923742311,154169,19.73903892,278622,35.67338765,200721,25.69932756
Compañeros del trabajo,Yucatán,57547,7.368034252,114490,14.65873532,211267,27.04958542,203399,26.04220548
Familiares,Yucatán,23760,3.042113296,95746,12.25884594,297759,38.12359482,332561,42.57947137
Vecinos,Yucatán,32695,4.186106658,80572,10.31604177,262618,33.62431437,323614,41.43394159
,,,,,,,,,
Zacatecas,267099,,,,,,,,
Partidos políticos,Zacatecas,172514,63.31137494,77304,28.37000202,16687,6.124006826,3650,1.339523277
Policías,Zacatecas,150346,55.17588124,92547,33.96407142,22129,8.121180982,1947,0.714534745
Gobiernos Estatales,Zacatecas,134005,49.17885388,98353,36.09483091,30895,11.3382388,5397,1.980659486
Diputados y Senadores,Zacatecas,147511,54.135457,83593,30.67801897,27179,9.974494009,3244,1.190524249
Gobierno Federal,Zacatecas,144009,52.85024864,82746,30.36717617,31673,11.62375911,4708,1.72780153
Gobiernos Municipales,Zacatecas,105622,38.76250069,103526,37.99328403,47626,17.47839331,7441,2.730792521
Empresarios,Zacatecas,89904,32.99410977,107923,39.60695084,50883,18.67368846,7424,2.724553645
Ministerio Público,Zacatecas,85491,31.37457108,101118,37.10956566,58338,21.40961888,10869,3.988843423
Medios de comunicación,Zacatecas,81708,29.98623777,104884,38.49166009,58320,21.40301301,14783,5.425252766
Institutos electorales,Zacatecas,95877,35.18615704,79130,29.04013065,61775,22.67097271,19468,7.144613465
Sindicatos,Zacatecas,78420,28.77956585,96139,35.28230912,53759,19.7291594,16037,5.885461585
Universidades públicas,Zacatecas,63129,23.1678808,107330,39.38932418,71555,26.26016111,5706,2.094060223
Jueces y magistrados,Zacatecas,70703,25.94748335,94416,34.64998073,66971,24.57786667,14856,5.452043232
Hospitales públicos,Zacatecas,49342,18.10815274,91205,33.47156724,101143,37.11874048,16070,5.897572343
Comisiones de derechos humanos,Zacatecas,58755,21.56265483,75115,27.56665505,86919,31.89863662,27525,10.10147348
Escuelas públicas,Zacatecas,37297,13.68772593,80510,29.54658055,104560,38.37275446,31130,11.42448208
Ejército y Marina,Zacatecas,42162,15.47314531,64400,23.6343285,105217,38.61386865,39412,14.46391544
Instituciones religiosas,Zacatecas,34687,12.72987504,59327,21.77257464,101269,37.16498156,60669,22.26507881
Compañeros del trabajo,Zacatecas,27359,10.04055269,44676,16.3957649,78594,28.84342257,75317,27.64078757
Familiares,Zacatecas,13805,5.066333927,33473,12.28434593,105649,38.77240949,112493,41.28410738
Vecinos,Zacatecas,14202,5.21203002,25948,9.522726022,106570,39.11040975,105791,38.82452245
