"Entidad federativa  
   Diversos sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Muy frecuente,Absolutos,Frecuente,Absolutos,Poco frecuente,Absolutos, Nunca
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Ministerio Público,Colima,104571,34.59992258,102330,33.85843185,59853,19.80385734,9847,3.258125461
Empresarios,Colima,77469,25.63255015,125325,41.46690093,64274,21.26665542,8226,2.721777195
Sindicatos,Colima,82804,27.39776792,114297,37.81801217,55235,18.2758769,13505,4.468465965
Medios de comunicación,Colima,83919,27.76669347,109786,36.32543535,71431,23.63472731,16172,5.35090941
Jueces y magistrados,Colima,73895,24.45000314,115920,38.35502219,63035,20.85670138,13183,4.361924236
Universidades públicas,Colima,44607,14.75933812,97264,32.18221944,104911,34.71242005,16112,5.331056914
Hospitales públicos,Colima,51220,16.94741405,89364,29.56830748,107295,35.50122589,28705,9.49776494
Comisiones de derechos humanos,Colima,40370,13.35742103,78070,25.83140599,111258,36.81248325,34036,11.26165921
Escuelas públicas,Colima,33229,10.99464313,79681,26.3644455,132254,43.75953333,36898,12.20862326
Ejército y Marina,Colima,38524,12.7466259,68068,22.52199491,106902,35.37119204,49563,16.39915428
Instituciones religiosas,Colima,34979,11.57367427,65279,21.59918472,109474,36.22220237,60952,20.16748889
Compañeros del trabajo,Colima,23529,7.785156289,56878,18.81950442,108452,35.88404819,54098,17.8996721
Vecinos,Colima,18901,6.253867101,41071,13.58936436,121460,40.18806931,85327,28.23256537
Familiares,Colima,15791,5.22484606,43444,14.37453057,121438,40.18079006,96476,31.92149
,,,,,,,,,
Chiapas,722647,,,,,,,,
Partidos políticos,Chiapas,501236,69.36111269,162270,22.45494688,46928,6.493903663,8126,1.124477096
Policías,Chiapas,447958,61.98849507,209161,28.94373048,57374,7.939422706,5054,0.699373276
Gobiernos Municipales,Chiapas,403825,55.88136393,227949,31.54361673,76079,10.5278234,8487,1.17443233
Gobiernos Estatales,Chiapas,381700,52.81970312,247705,34.27745497,74237,10.27292717,10620,1.469597189
Institutos electorales,Chiapas,423668,58.62724124,199647,27.62718174,82746,11.45040386,8729,1.207920326
Gobierno Federal,Chiapas,401001,55.49057839,216468,29.95487423,81666,11.3009533,10608,1.467936627
Ministerio Público,Chiapas,407184,56.34618285,185577,25.68017303,101467,14.04101864,15872,2.196369735
Diputados y Senadores,Chiapas,377478,52.23546213,202732,28.0540845,106038,14.67355431,23276,3.220936363
Medios de comunicación,Chiapas,305521,42.2780417,241352,33.39832588,126660,17.52722975,38742,5.361123758
Sindicatos,Chiapas,249561,34.53428853,273078,37.7885745,139811,19.3470671,35139,4.862540078
Jueces y magistrados,Chiapas,224723,31.09720237,285399,39.49355633,160628,22.22772668,27059,3.744428469
