"Entidad federativa  
   Diversos sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Muy frecuente,Absolutos,Frecuente,Absolutos,Poco frecuente,Absolutos, Nunca
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Ejército y Marina,San Luis Potosí,65259,7.839003665,194912,23.41310597,336712,40.44632314,126571,15.20388809
Compañeros del trabajo,San Luis Potosí,42149,5.062997678,213639,25.66261978,277039,33.27831772,139669,16.77723843
Vecinos,San Luis Potosí,40904,4.913446512,142050,17.06324753,313807,37.69494205,244239,29.33833519
Familiares,San Luis Potosí,25806,3.099853332,144076,17.30661352,302446,36.33024261,302044,36.2819538
,,,,,,,,,
Sinaloa,1006653,,,,,,,,
Policías,Sinaloa,593049,58.91295213,317399,31.53013004,63639,6.321840793,7908,0.785573579
Partidos políticos,Sinaloa,508472,50.51114932,336017,33.37962535,106583,10.58785897,21436,2.129432883
Gobiernos Estatales,Sinaloa,422066,41.92765531,335632,33.3413798,149254,14.82675758,25479,2.531060852
Diputados y Senadores,Sinaloa,436725,43.38386713,316864,31.47698363,109036,10.83153778,37179,3.693328287
Gobierno Federal,Sinaloa,466797,46.37119246,281675,27.98134014,142058,14.11191344,22858,2.270693079
Gobiernos Municipales,Sinaloa,389238,38.66655143,353482,35.11458268,162444,16.13704027,35579,3.534385732
Ministerio Público,Sinaloa,369663,36.72198861,346922,34.46291821,146390,14.54225041,45705,4.540293428
Empresarios,Sinaloa,277286,27.54534085,369634,36.71910778,199674,19.83543485,42972,4.268799676
Institutos electorales,Sinaloa,339910,33.76635246,304877,30.28620587,216891,21.54575608,63998,6.357503529
Sindicatos,Sinaloa,300782,29.87941227,338040,33.58058835,167718,16.66095467,51201,5.086261105
Jueces y magistrados,Sinaloa,305471,30.3452133,322817,32.06834927,197740,19.64331304,47298,4.698540609
Medios de comunicación,Sinaloa,279037,27.71928361,326428,32.42706275,222878,22.14049926,71093,7.062314422
Hospitales públicos,Sinaloa,250667,24.90103342,299967,29.79845091,287184,28.52859923,86695,8.612203013
Universidades públicas,Sinaloa,177902,17.67262403,360330,35.79485682,269645,26.78629081,58389,5.800310534
Ejército y Marina,Sinaloa,272664,27.08619554,249555,24.79056835,243057,24.1450629,101989,10.13149516
Escuelas públicas,Sinaloa,163590,16.25088288,282927,28.10571269,351374,34.90517586,121519,12.07158773
Comisiones de derechos humanos,Sinaloa,145043,14.40844064,260123,25.84038393,299847,29.78653021,134602,13.37124113
Compañeros del trabajo,Sinaloa,126926,12.60871422,242544,24.09410194,291143,28.92188271,150128,14.91357995
Instituciones religiosas,Sinaloa,132039,13.11663503,211821,21.04210686,306115,30.40918767,221253,21.97907323
Familiares,Sinaloa,73097,7.261389973,161528,16.04604566,364905,36.24933319,347617,34.53195888
Vecinos,Sinaloa,66097,6.566016294,165253,16.41608379,328819,32.66458253,314252,31.21750991
,,,,,,,,,
Sonora,1211731,,,,,,,,
Policías,Sonora,837880,69.14736026,282827,23.34074147,61653,5.088010458,12472,1.029271348
Partidos políticos,Sonora,696425,57.47356468,345624,28.52316232,101390,8.367368665,33547,2.768518755
Gobierno Federal,Sonora,623927,51.4905536,357162,29.47535385,133120,10.98593665,36248,2.991423014
Gobiernos Estatales,Sonora,623801,51.48015525,350862,28.95543648,153625,12.67814391,30567,2.522589585
Gobiernos Municipales,Sonora,531115,43.83109783,406606,33.55579745,184402,15.21806408,45546,3.758755037
Ministerio Público,Sonora,501798,41.41166645,403928,33.3347913,173375,14.30804362,64200,5.298205625
Diputados y Senadores,Sonora,512162,42.26697179,368763,30.43274456,178031,14.69228731,49852,4.114114436
Empresarios,Sonora,325207,26.83821739,469373,38.7357425,246869,20.37325116,73483,6.06429975
Institutos electorales,Sonora,407152,33.60085696,358326,29.57141478,258381,21.323297,100995,8.334770671
Sindicatos,Sonora,347707,28.69506516,394227,32.53420107,233255,19.24973447,94206,7.774497805
Jueces y magistrados,Sonora,353118,29.14161641,387320,31.96419007,265072,21.87548226,83269,6.871904738
Medios de comunicación,Sonora,315552,26.04142339,374079,30.87145579,304134,25.09913504,105832,8.733951677
Hospitales públicos,Sonora,294450,24.29994776,373916,30.85800396,367395,30.31984822,90470,7.46617855
Universidades públicas,Sonora,172573,14.24185731,357210,29.47931513,407975,33.66877632,87254,7.200773109
Comisiones de derechos humanos,Sonora,180410,14.88861802,314155,25.92613377,402069,33.18137441,178290,14.7136617
Escuelas públicas,Sonora,155836,12.86061015,333161,27.49463371,440681,36.36789023,189948,15.67575642
Ejército y Marina,Sonora,166731,13.7597371,262623,21.6733747,379579,31.32535191,213814,17.64533547
Compañeros del trabajo,Sonora,111264,9.182235991,242136,19.98265292,452823,37.36992781,256831,21.19538082
Instituciones religiosas,Sonora,123273,10.17329754,217519,17.95109641,401560,33.13936839,357097,29.46998963
Vecinos,Sonora,88843,7.331907824,179220,14.7904114,440374,36.34255458,422503,34.86772229
Familiares,Sonora,70075,5.783049208,197582,16.30576423,438726,36.20655079,466571,38.50450306
,,,,,,,,,
Tabasco,300354,,,,,,,,
Partidos políticos,Tabasco,198260,66.00877631,84976,28.29194883,14596,4.859599007,1733,0.576985823
Policías,Tabasco,175108,58.3005387,102799,34.22594672,19135,6.370815771,2148,0.715156116
Gobiernos Municipales,Tabasco,167973,55.92500849,105182,35.01934384,24238,8.069810956,463,0.154151435
Gobiernos Estatales,Tabasco,174465,58.08645798,96623,32.16970641,24972,8.314189257,2785,0.927239191
Gobierno Federal,Tabasco,178437,59.4088975,87001,28.96615327,26107,8.692076683,2109,0.702171438
Ministerio Público,Tabasco,175355,58.38277499,86867,28.92153925,30138,10.03415969,4649,1.547840215
Institutos electorales,Tabasco,157565,52.45976414,88365,29.42028406,38559,12.83785134,9746,3.244837758
Diputados y Senadores,Tabasco,137951,45.92946989,103594,34.49063438,39318,13.09055315,5714,1.902421809
Sindicatos,Tabasco,114676,38.1802806,107185,35.68622359,49756,16.56578571,11181,3.722607323
Empresarios,Tabasco,93323,31.07100288,118737,39.53235182,67892,22.60399395,10974,3.653688647
Jueces y magistrados,Tabasco,98076,32.65346891,108648,36.17331549,68289,22.73617132,9555,3.18124613
Universidades públicas,Tabasco,76815,25.57482171,122265,40.70696578,76701,25.5368665,10005,3.331069338
Medios de comunicación,Tabasco,78855,26.25402026,116706,38.85614974,81464,27.12266193,16576,5.518821124
Hospitales públicos,Tabasco,73908,24.60696378,101209,33.69657138,104645,34.84055481,14297,4.760049808
Escuelas públicas,Tabasco,41780,13.91025257,92555,30.81530461,136107,45.31552768,23780,7.917324224
Comisiones de derechos humanos,Tabasco,41722,13.89094202,86081,28.65984805,131076,43.64050421,24355,8.108764991
Ejército y Marina,Tabasco,44884,14.94369977,73162,24.3585902,117926,39.26233711,45875,15.27364377
Instituciones religiosas,Tabasco,18982,6.31987588,51021,16.98695539,130056,43.30090493,88591,29.49552861
Compañeros del trabajo,Tabasco,14610,4.864260173,50547,16.82914161,101678,33.85272046,86298,28.73209613
Vecinos,Tabasco,17885,5.954640191,37693,12.54952489,116775,38.87912264,105643,35.17282939
Familiares,Tabasco,13362,4.448750474,41350,13.76708817,125180,41.67748723,112540,37.46911977
,,,,,,,,,
Tamaulipas,1766559,,,,,,,,
Policías,Tamaulipas,868575,49.16761908,575309,32.5666451,167961,9.507805853,54997,3.113227467
Partidos políticos,Tamaulipas,858330,48.58767808,566950,32.09346532,146661,8.302071994,71997,4.075550265
Gobiernos Estatales,Tamaulipas,735761,41.64938731,554120,31.36719464,217343,12.30318376,85808,4.857352627
Diputados y Senadores,Tamaulipas,699008,39.56890203,583131,33.0094268,165214,9.35230581,108191,6.124392109
Gobierno Federal,Tamaulipas,795405,45.02566855,485963,27.50901612,202418,11.45832095,90418,5.118311927
Ministerio Público,Tamaulipas,664220,37.59964994,532172,30.1247793,246892,13.9758706,145149,8.216481872
Gobiernos Municipales,Tamaulipas,661236,37.43073399,524670,29.70011191,292240,16.54289497,108577,6.146242497
Jueces y magistrados,Tamaulipas,488602,27.65840258,618950,35.03704094,255457,14.46071147,160117,9.063778793
Institutos electorales,Tamaulipas,540904,30.61907358,536698,30.3809836,267451,15.13965851,249727,14.13635208
Medios de comunicación,Tamaulipas,406789,23.02719581,634912,35.94060544,314040,17.77693244,192567,10.90068319
Sindicatos,Tamaulipas,402799,22.80133299,621054,35.15614253,295131,16.70654646,185594,10.50596102
Empresarios,Tamaulipas,382294,21.64060187,609319,34.49185677,397798,22.51824026,141550,8.012752475
Hospitales públicos,Tamaulipas,262303,14.84824453,536755,30.38421021,477839,27.04913903,229482,12.99033885
Ejército y Marina,Tamaulipas,266953,15.11146811,470450,26.63086826,443119,25.08373624,330001,18.68044034
Universidades públicas,Tamaulipas,233456,13.21529595,463203,26.22063571,510264,28.88462825,160096,9.062590041
Escuelas públicas,Tamaulipas,202407,11.45769827,432532,24.48443556,595071,33.68531705,314527,17.80450016
Comisiones de derechos humanos,Tamaulipas,185723,10.51326336,348505,19.7279004,457968,25.9242969,444856,25.18206298
Instituciones religiosas,Tamaulipas,153486,8.688416294,330545,18.71123467,500686,28.34244427,568827,32.19971708
Compañeros del trabajo,Tamaulipas,119568,6.76841249,219990,12.45302308,416988,23.60453288,520491,29.46355033
Vecinos,Tamaulipas,80453,4.554220946,211140,11.95204915,441179,24.97391822,808271,45.75397708
Familiares,Tamaulipas,53984,3.055884349,123606,6.996992458,482241,27.29832403,980653,55.51204347
,,,,,,,,,
Tlaxcala,474552,,,,,,,,
Policías,Tlaxcala,261640,55.13410543,157167,33.11902594,43142,9.091100659,4685,0.987246919
Partidos políticos,Tlaxcala,233242,49.1499351,182705,38.5005226,37083,7.814317504,7590,1.599403227
Diputados y Senadores,Tlaxcala,197286,41.57310474,180621,38.06137157,42824,9.024090089,9708,2.04571891
Gobierno Federal,Tlaxcala,199091,41.95346348,178633,37.64245014,46269,9.750037931,10853,2.286999107
Gobiernos Estatales,Tlaxcala,180939,38.12838214,191893,40.43666448,54933,11.57575987,12773,2.691591227
Ministerio Público,Tlaxcala,191361,40.32455874,179343,37.79206494,56123,11.8265227,16599,3.497825317
Gobiernos Municipales,Tlaxcala,174762,36.82673342,191919,40.44214333,76721,16.16703754,14333,3.020322325
Jueces y magistrados,Tlaxcala,148804,31.35673224,175189,36.91671303,84583,17.82375799,22429,4.726352433
Institutos electorales,Tlaxcala,160698,33.86309614,162253,34.19077361,77650,16.36280113,32714,6.893659704
Sindicatos,Tlaxcala,116526,24.55494867,193194,40.71081778,87159,18.36658575,20980,4.421011817
Medios de comunicación,Tlaxcala,110012,23.18228561,192177,40.49651039,105972,22.33095635,32261,6.798201251
Empresarios,Tlaxcala,101281,21.34244509,187503,39.51158145,124921,26.32398557,23348,4.920008766
Universidades públicas,Tlaxcala,94795,19.97568233,178357,37.58429003,116476,24.54441241,15633,3.294264907
Escuelas públicas,Tlaxcala,47660,10.04315649,174603,36.79322814,178557,37.62643504,54006,11.38041774
Hospitales públicos,Tlaxcala,62048,13.0750687,137522,28.97933209,191443,40.3418382,48847,10.29328714
Comisiones de derechos humanos,Tlaxcala,37813,7.9681468,109306,23.03351371,205736,43.35373152,56047,11.81050759
Instituciones religiosas,Tlaxcala,32281,6.802415752,104761,22.0757683,206699,43.55665975,100866,21.25499418
Ejército y Marina,Tlaxcala,32648,6.87975185,96768,20.39144288,191769,40.41053457,67390,14.20076198
Compañeros del trabajo,Tlaxcala,23576,4.96805408,87958,18.53495507,189732,39.98128761,83714,17.64063791
Vecinos,Tlaxcala,17462,3.679681047,73817,15.55509196,203695,42.92364167,145321,30.62277685
Familiares,Tlaxcala,17402,3.667037543,63851,13.45500598,189390,39.90921964,180580,38.05273184
,,,,,,,,,
Veracruz de Ignacio de la Llave,1907763,,,,,,,,
Partidos políticos,Veracruz de Ignacio de la Llave,882552,46.26109218,675507,35.40832902,215273,11.28405363,57610,3.01976713
Policías,Veracruz de Ignacio de la Llave,737381,38.651604,745899,39.09809552,292275,15.32029922,55337,2.900622352
Gobiernos Estatales,Veracruz de Ignacio de la Llave,813243,42.62809374,655334,34.35091256,301890,15.82429264,42606,2.233296274
Gobierno Federal,Veracruz de Ignacio de la Llave,847416,44.41935398,595619,31.22080678,276810,14.50966394,52046,2.728116648
Gobiernos Municipales,Veracruz de Ignacio de la Llave,660304,34.6114271,741335,38.85886245,344476,18.05654057,63038,3.304288845
Diputados y Senadores,Veracruz de Ignacio de la Llave,668909,35.06247893,677035,35.48842283,329693,17.28165396,54078,2.83462883
Ministerio Público,Veracruz de Ignacio de la Llave,609269,31.93630446,699994,36.6918742,336948,17.66194229,95779,5.020487346
Institutos electorales,Veracruz de Ignacio de la Llave,559331,29.31868371,636276,33.35194151,425867,22.32284618,176136,9.232593357
Jueces y magistrados,Veracruz de Ignacio de la Llave,426036,22.33170472,759521,39.81212551,406023,21.28267505,101439,5.3171699
Sindicatos,Veracruz de Ignacio de la Llave,418853,21.95519045,737416,38.65343861,405732,21.26742158,149765,7.850293773
Empresarios,Veracruz de Ignacio de la Llave,367412,19.25878634,773517,40.54575961,488626,25.61251057,101669,5.329225905
Medios de comunicación,Veracruz de Ignacio de la Llave,446555,23.40725761,663954,34.80275066,503126,26.37256305,144937,7.597222506
Hospitales públicos,Veracruz de Ignacio de la Llave,214621,11.24987747,631120,33.08167734,701129,36.75136796,235204,12.32878507
Universidades públicas,Veracruz de Ignacio de la Llave,207786,10.89160446,637456,33.41379406,683055,35.80397565,141808,7.433208423
Escuelas públicas,Veracruz de Ignacio de la Llave,157229,8.24153734,470326,24.65327192,820546,43.0108981,314267,16.47306295
Comisiones de derechos humanos,Veracruz de Ignacio de la Llave,175344,9.191078766,451060,23.64339805,795928,41.72048624,225752,11.83333569
Ejército y Marina,Veracruz de Ignacio de la Llave,149242,7.822879467,435527,22.82919839,748742,39.24711822,354258,18.56928769
Instituciones religiosas,Veracruz de Ignacio de la Llave,142437,7.466178975,401822,21.0624695,757227,39.69187997,469553,24.61275326
Compañeros del trabajo,Veracruz de Ignacio de la Llave,65939,3.456351759,347650,18.22291343,607696,31.85385187,476480,24.97584868
Vecinos,Veracruz de Ignacio de la Llave,69518,3.643953678,241228,12.64454757,698536,36.61544961,722342,37.86329853
Familiares,Veracruz de Ignacio de la Llave,38504,2.018280048,230038,12.05799672,713704,37.41051692,847031,44.39917327
,,,,,,,,,
Yucatán,771476,,,,,,,,
Partidos políticos,Yucatán,409584,53.09095811,266638,34.56206026,57179,7.411636914,12376,1.604197668
Policías,Yucatán,377439,48.92426984,271797,35.2307784,85927,11.1380004,13706,1.776594476
Gobierno Federal,Yucatán,376809,48.8426082,222575,28.85054104,68765,8.91343347,24482,3.173397487
Diputados y Senadores,Yucatán,314486,40.76419746,264473,34.28142936,85241,11.04907995,27238,3.530634783
Gobiernos Municipales,Yucatán,246820,31.99321819,294423,38.16359809,152774,19.80281953,25589,3.316888665
Ministerio Público,Yucatán,247038,32.02147572,265445,34.40742162,144803,18.76960528,36394,4.717450705
Empresarios,Yucatán,208391,27.01198741,301728,39.11048432,161148,20.88827131,25475,3.302111796
Gobiernos Estatales,Yucatán,210629,27.30208069,272973,35.38321348,171468,22.22596685,58654,7.602828863
Institutos electorales,Yucatán,212552,27.55134314,267940,34.73082766,184739,23.9461759,58244,7.549683982
Sindicatos,Yucatán,205846,26.68210029,256074,33.19273704,143146,18.55482219,48568,6.295464797
Medios de comunicación,Yucatán,170249,22.06795804,290444,37.6478335,163320,21.16980956,76653,9.935889127
Jueces y magistrados,Yucatán,174729,22.64866308,259726,33.66611534,157025,20.35384121,46312,6.003038332
Hospitales públicos,Yucatán,164972,21.38394454,210202,27.24673224,252851,32.77496643,87598,11.3545982
Universidades públicas,Yucatán,93676,12.14243865,246271,31.9220559,250412,32.4588192,35091,4.548553682
Escuelas públicas,Yucatán,90768,11.76549886,205704,26.66369401,299744,38.85331494,116916,15.15484604
Comisiones de derechos humanos,Yucatán,79095,10.25242522,169103,21.91941162,271497,35.19189191,114923,14.89651007
Ejército y Marina,Yucatán,72421,9.38733026,137574,17.83257029,225698,29.25534949,146276,18.96053798
Instituciones religiosas,Yucatán,63336,8.209717477,140468,18.20769538,281447,36.48162743,210456,27.27965614
Compañeros del trabajo,Yucatán,63977,8.292804961,139182,18.04100192,264135,34.23761724,158914,20.59869652
Familiares,Yucatán,36815,4.772021424,95115,12.32896422,264590,34.2965951,319949,41.47232059
Vecinos,Yucatán,34652,4.491649773,83593,10.83546345,231147,29.96165791,302635,39.22805116
,,,,,,,,,
Zacatecas,267099,,,,,,,,
Policías,Zacatecas,155905,58.36974305,82211,30.77922418,18962,7.099240357,749,0.280420368
Partidos políticos,Zacatecas,146039,54.67598156,86531,32.39660201,17856,6.685161682,4874,1.824791557
Gobiernos Estatales,Zacatecas,114658,42.92715435,98923,37.03608025,34173,12.79413251,5988,2.241865376
Gobierno Federal,Zacatecas,115947,43.40974695,89750,33.60177313,33284,12.46129712,6640,2.485969622
Diputados y Senadores,Zacatecas,102854,38.5078192,101951,38.16974231,27185,10.17787412,7390,2.766764383
Gobiernos Municipales,Zacatecas,93241,34.90877914,107425,40.21916967,44035,16.48639643,7580,2.837899056
Ministerio Público,Zacatecas,75512,28.27116537,98688,36.9480979,49162,18.40590942,17266,6.464269803
Empresarios,Zacatecas,69208,25.9109918,101074,37.84139963,62125,23.25916608,10816,4.049434854
Medios de comunicación,Zacatecas,67200,25.15921063,99420,37.22215358,54625,20.45121846,17837,6.678048214
Sindicatos,Zacatecas,66806,25.01169978,98710,36.95633454,46757,17.50549422,19554,7.320881022
Institutos electorales,Zacatecas,58718,21.98360907,94016,35.19893373,63545,23.79080416,20340,7.615153932
Jueces y magistrados,Zacatecas,53788,20.13785151,97368,36.45389912,62177,23.27863451,15532,5.815072314
Universidades públicas,Zacatecas,36849,13.79600822,114272,42.78263865,76542,28.65679018,5596,2.095103314
Hospitales públicos,Zacatecas,43306,16.21346392,98179,36.75753185,89894,33.65568572,12486,4.674671189
Escuelas públicas,Zacatecas,26320,9.854024163,81619,30.55758352,107503,40.24837233,26778,10.02549616
Instituciones religiosas,Zacatecas,34885,13.06070034,61692,23.0970539,91465,34.24385715,51798,19.39280941
Ejército y Marina,Zacatecas,29596,11.08053568,66115,24.75299421,91858,34.3909936,42936,16.07493851
Comisiones de derechos humanos,Zacatecas,26452,9.903444041,63916,23.92970397,105159,39.3707951,30081,11.26211629
Compañeros del trabajo,Zacatecas,17319,6.484112632,57703,21.60360016,78555,29.41044332,63208,23.66463371
Vecinos,Zacatecas,10312,3.860740774,44150,16.52945163,82394,30.8477381,84022,31.45724993
Familiares,Zacatecas,8479,3.174478377,40335,15.10114227,95983,35.93536479,98417,36.84663739
