"entidad","year","pib_total","pib_primarias","pib_secundarias","pib_terciarias","pib_salud","pib_educacion","pob_tot","year_real"
"Morelos","2015",0.09847216819316623,0.002828278647407752,0.029218163462654642,0.06642572608310383,0.002996443974743291,0.005111338257841771,1903811,2015
"Nayarit","2015",0.09657762076118707,0.006079234579399686,0.020567213919817112,0.06993117226197028,0.0023523508742220906,0.005600418271876719,1181050,2015
"Nuevo León","2015",0.23988310449606057,0.001241039170982189,0.0877201996521538,0.15092186567292457,0.003769522008382062,0.006091783305570227,5119504,2015
"Oaxaca","2015",0.06568049333033257,0.0036408067362771485,0.018146783087934163,0.04389290350612127,0.001503278947571366,0.005098059446723434,3967889,2015
"Puebla","2015",0.08763403812327127,0.0039026971333384016,0.028923147026779405,0.05480819396315346,0.001967734677412426,0.004815837972611897,6168883,2015
"Querétaro","2015",0.17779821887270822,0.0044563028730771415,0.07020352418498683,0.10313839181464424,0.0025233568749963207,0.005899795032506334,2038372,2015
"Quintana Roo","2015",0.1625517268018237,0.001311450343042778,0.01773786696786413,0.1435024094909168,0.003322520149018156,0.004985188090801446,1501562,2015
"San Luis Potosí","2015",0.12118512557858872,0.004679805137941438,0.04667698412698413,0.06982833631366316,0.0024605176207401517,0.0057970759652957145,2717820,2015
"Sinaloa","2015",0.12097420137604797,0.014174824302561994,0.024549299957759126,0.08225007711572685,0.0024173088482332154,0.006927809566125851,2966321,2015
"Sonora","2015",0.1928221725203748,0.011742046710380902,0.08726434307606487,0.09381578273392906,0.0033483049331130077,0.005909790445316858,2850330,2015
"Tabasco","2015",0.2347175205989132,0.003200575967990274,0.15936386473018513,0.07215307990073778,0.0034735641714176927,0.005537582788092542,2395272,2015
"Tamaulipas","2015",0.1431232351008136,0.004660236313587073,0.05487296619285016,0.08359003259437638,0.0033980785065976155,0.005966581321196688,3441698,2015
"Tlaxcala","2015",0.07578178681334048,0.0026496020338658143,0.027246602301769184,0.04588558247770549,0.0021971171711918243,0.004765204301852462,1272847,2015
"Veracruz de Ignacio de la Llave","2015",0.09685614135214708,0.0051274458382460164,0.03273758536974708,0.058991110144153994,0.002530128117024273,0.005151797132944756,8112505,2015
"Yucatán","2015",0.10984992954808255,0.004361941659613527,0.02847838497025761,0.0770096029182114,0.0031078307723485165,0.005290482673119792,2097175,2015
"Zacatecas","2015",0.10125661581209326,0.007440661115786448,0.04018811759558108,0.05362783710072574,0.0022322219541555297,0.0056526381245294325,1579209,2015
"Aguascalientes","2017",0.1651034631981861,0.006608645500646074,0.06930625487602701,0.08918856282151304,0.004012270064851159,0.0060754069958797565,1312544,2015
"Baja California","2017",0.16687764245124656,0.00454577433992628,0.06309678427247278,0.0992350838388475,0.003175813974810044,0.006067613938981219,3315766,2015
"Baja California Sur","2017",0.20838565564043038,0.007257083630020688,0.06447715893594222,0.13665141307446746,0.00396122629836706,0.0064944882862917105,712029,2015
"Campeche","2017",0.5976931309178148,0.005908502985228868,0.508422153476211,0.083362474456375,0.0027188684465809044,0.006189263399082818,899931,2015
"Coahuila de Zaragoza","2017",0.20363430149429004,0.004413890416475601,0.1041262516857507,0.09509415939206373,0.003109663391332745,0.005675881370530117,2954915,2015
"Colima","2017",0.14346795222394848,0.006772194844179491,0.03520145521522423,0.10149430216454478,0.0034351669982495233,0.0070137985335367355,711235,2015
"Chiapas","2017",0.053197725026964834,0.003645722001997736,0.011549328198197439,0.03800267482676966,0.001976547880874864,0.004984454881151603,5217908,2015
"Chihuahua","2017",0.15506420026688605,0.009751013194158198,0.06168756927312633,0.08362561779960152,0.0032117388812941895,0.005403435159791418,3556574,2015
"Ciudad de México","2017",0.3414798018265763,1.2818583703166832e-4,0.03383561867470346,0.30751599731484114,0.009387913286905544,0.010627348322667112,8918653,2015
"Durango","2017",0.11372494948009806,0.011393548041491855,0.03359920421893895,0.06873219721966725,0.002642046121564618,0.00579596798183677,1754754,2015
"Guanajuato","2017",0.12029694378422315,0.004291988608185932,0.04490444689722375,0.07110050827881347,0.002560524777844763,0.004240182709090372,5853677,2015
"Guerrero","2017",0.06625461423487887,0.0037193661022101175,0.01178996482276521,0.05074528330990354,0.002064480559122463,0.004678534018670058,3533251,2015
"Hidalgo","2017",0.09450110115629282,0.003652583527821383,0.030374291332894154,0.060474226295577284,0.002052617603317148,0.005383818127813896,2858359,2015
"Jalisco","2017",0.14998617356908944,0.008592312516651093,0.04619828778953782,0.09519557326290054,0.0030284012527996146,0.004969335090754038,7844830,2015
"México","2017",0.09618011326936012,0.0013949346932542472,0.025113469945652254,0.06967170863045362,0.002379939951597543,0.004552786180638918,16187608,2015
"Michoacán de Ocampo","2017",0.09049170253230962,0.01164878914055733,0.014897734547780978,0.06394517884397131,0.002051058889891549,0.005847450447390767,4584471,2015
"Morelos","2017",0.10675350862034098,0.003182025946903343,0.0335751096090946,0.06999637306434305,0.0036138408697081797,0.0053629688031007275,1903811,2015
"Nayarit","2017",0.10245130519453029,0.007094603107404429,0.019325357944202193,0.07603134414292367,0.0026685068371364463,0.005916089073282249,1181050,2015
"Nuevo León","2017",0.25521009398566735,0.0011872310286308986,0.08885535083086174,0.16516751212617473,0.003974604961730668,0.005986027357337742,5119504,2015
"Oaxaca","2017",0.06313649903008879,0.0038036673908972756,0.013975975638431419,0.0453568560007601,0.0015775680720907263,0.005475439963164292,3967889,2015
"Puebla","2017",0.09549221034018639,0.0038991956890736946,0.033496747952587204,0.05809626669852548,0.002092033355147115,0.004830917525911904,6168883,2015
"Querétaro","2017",0.19383596713455642,0.004861271642271381,0.07926600983529992,0.10970868565698509,0.0026465385121067207,0.005924408792899431,2038372,2015
"Quintana Roo","2017",0.18128570515236803,0.0014101595538512563,0.019815789158223237,0.1600597564402935,0.0034796844885525875,0.004948005476963322,1501562,2015
"San Luis Potosí","2017",0.13050088085303663,0.005094583526502859,0.05166380113473299,0.07374249619180079,0.0025354460560302007,0.005955314553576028,2717820,2015
"Sinaloa","2017",0.12843777022109207,0.014495699555105466,0.025243583213010325,0.08869848745297626,0.0026103145950825955,0.006314860057289821,2966321,2015
"Sonora","2017",0.2020771149305519,0.013393830538920055,0.09086204053565727,0.09782124385597457,0.003380253514505338,0.006073904775938225,2850330,2015
"Tabasco","2017",0.2126640986910881,0.003681232444582494,0.13765681308845093,0.07132605315805471,0.003336334245129572,0.005591763691138209,2395272,2015
"Tamaulipas","2017",0.1448033575287547,0.004713087842105844,0.051793654759946975,0.08829661492670188,0.0036088401713340336,0.005954120320841631,3441698,2015
"Tlaxcala","2017",0.07509561400545392,0.0025462211876211356,0.02538578949394546,0.04716360332388732,0.0021447817373179963,0.0049257004180392455,1272847,2015
"Veracruz de Ignacio de la Llave","2017",0.09566377536901365,0.005169029171630711,0.029892007216020203,0.060602738981362723,0.0025406564310283936,0.005188227557332784,8112505,2015
"Yucatán","2017",0.1203481464350853,0.004403869014269195,0.03279554829711397,0.08314872912370212,0.003250163195727586,0.005683938631730781,2097175,2015
"Zacatecas","2017",0.09981017775354624,0.008724937611171163,0.03460692789871385,0.05647831224366122,0.0024976339420558014,0.0061329444044455166,1579209,2015
"Aguascalientes","2019",0.15618019061354216,0.0063524414512554995,0.06447265270162113,0.08535509646066552,0.003939141011512991,0.00562892718680534,1425607,2020
"Baja California","2019",0.15276756637003785,0.004105085141495667,0.05868958270319606,0.08997289852534611,0.0029913866203946913,0.00531554144048055,3769020,2020
"Baja California Sur","2019",0.19914883267142341,0.006683117351558713,0.05703668746955026,0.1354290278503144,0.0041284643814805495,0.005680155351576247,798447,2020
"Campeche","2019",0.5573608071411722,0.006185026762160922,0.46880354667301477,0.08237223370599647,0.0026800141754895444,0.005888751490526874,928363,2020
"Coahuila de Zaragoza","2019",0.19200391862007118,0.004458438507282544,0.09493934735002961,0.09260613276275903,0.0030860911073605293,0.005571482322672987,3146771,2020
"Colima","2019",0.14980234512046225,0.006901301766086813,0.03919771093710477,0.10370333241727064,0.0035395704896560116,0.0071536770345820505,731391,2020
"Chiapas","2019",0.047009475402195015,0.0035201205737263133,0.008492369712768866,0.03499698511569984,0.0014053262474954128,0.004604435960134406,5543828,2020
"Chihuahua","2019",0.15307516724930775,0.009032574630485462,0.060875021279472905,0.0831675713393494,0.0034226799495118616,0.005272661068572951,3741869,2020
"Ciudad de México","2019",0.340241949245294,1.3414880698514562e-4,0.03196238261600722,0.30814541782230165,0.009276301897166802,0.010287800989886584,9209944,2020
"Durango","2019",0.11135466291981556,0.01048402968379123,0.03389467656126374,0.06697595667476058,0.002364245218672414,0.0055952986113005755,1832650,2020
"Guanajuato","2019",0.11393551657922721,0.004312061714946196,0.039656565645100145,0.06996688921918089,0.002589749460590952,0.004144761400073359,6166934,2020
"Guerrero","2019",0.0679567518714599,0.003562919322108575,0.012412821812728328,0.051981010736623,0.002076041500444123,0.0047960759005672635,3540685,2020
"Hidalgo","2019",0.08860493648553396,0.0032057611793796697,0.02771083393532135,0.057688341370832945,0.0019175935443962243,0.004962561157062593,3082841,2020
"Jalisco","2019",0.14584664915620238,0.008504528008657246,0.043628829066460345,0.09371329208108478,0.00330530293474567,0.004547784293791523,8348151,2020
"México","2019",0.0928435570499737,0.0011658602089473081,0.022813267187753974,0.06886442965327243,0.002330794652061878,0.004459803072170188,16992418,2020
"Michoacán de Ocampo","2019",0.08949002052288071,0.011675255209370867,0.01398626550534593,0.06382849980816392,0.002376500943597666,0.005966877637219653,4748846,2020
"Morelos","2019",0.10199414664827139,0.0033138766028242166,0.03128769223746145,0.06739257780798572,0.00328613912108424,0.005111943576529785,1971520,2020
"Nayarit","2019",0.0978955155019685,0.0069226229019892244,0.017913031301802735,0.07305986129817654,0.0026131112722751764,0.00578517081951927,1235456,2020
"Nuevo León","2019",0.23746332939287834,0.0010993964499946582,0.0831597339898991,0.15320419895298457,0.003842276921438576,0.005397073563880492,5784442,2020
"Oaxaca","2019",0.06113565390203836,0.003690101855015842,0.013305462921463607,0.04414008912555891,0.0014877298683396627,0.004996760764619273,4132148,2020
