"entidad","pob_18","Muy_frecuente","Frecuente","Poco_frecuente","Nunca","Diputados_y_Senadores_Frecuente","Diputados_y_Senadores_Muy_frecuente","Diputados_y_Senadores_Nunca","Diputados_y_Senadores_Poco_frecuente","Ejército_y_Marina_Frecuente","Ejército_y_Marina_Muy_frecuente","Ejército_y_Marina_Nunca","Ejército_y_Marina_Poco_frecuente","Gobierno_Federal_Frecuente","Gobierno_Federal_Muy_frecuente","Gobierno_Federal_Nunca","Gobierno_Federal_Poco_frecuente","Gobiernos_Estatales_Frecuente","Gobiernos_Estatales_Muy_frecuente","Gobiernos_Estatales_Nunca","Gobiernos_Estatales_Poco_frecuente","Gobiernos_Municipales_Frecuente","Gobiernos_Municipales_Muy_frecuente","Gobiernos_Municipales_Nunca","Gobiernos_Municipales_Poco_frecuente","Ministerio_Publico_Frecuente","Ministerio_Publico_Muy_frecuente","Ministerio_Publico_Nunca","Ministerio_Publico_Poco_frecuente","Policias_Frecuente","Policias_Muy_frecuente","Policias_Nunca","Policias_Poco_frecuente","contacto","pob_usuario","tramites","year"
"Querétaro",735219,25.45064804,47.81024429,22.66073102,2.181526865,29.47026668,49.59338646,4.401273634,9.795992759,24.66312759,11.10199818,19.79600636,31.54665481,29.58547045,49.34407299,3.245563567,11.11927194,39.96319464,30.05648657,3.909719417,19.76553925,37.40531733,28.92430691,6.302339847,19.90236923,34.27495753,35.99607736,6.96241528,17.23554478,31.0708782,48.80423384,2.162076878,15.7821003,13073.62312,584857,28905.35635,2015
"Quintana Roo",784335,37.56953343,45.73058706,12.63108238,1.780106715,34.68275673,38.38245138,3.773897633,7.666622043,18.59205569,6.591953693,24.47512861,33.35896014,32.00545685,44.19195879,2.178023421,10.49908521,37.22784269,34.52376854,2.631273627,14.16320832,40.40760644,30.47192845,4.229570273,16.57289296,35.54068096,38.12121096,5.661483932,12.55700689,34.33405369,54.49138442,0.580236761,8.453275705,13085.03004,604798,18186.07204,2015
"San Luis Potosí",832491,47.78093697,42.31565266,7.775579556,0.477362518,41.45966743,38.12269442,1.992814337,9.739084266,23.41310597,7.839003665,15.20388809,40.44632314,34.83677301,48.54022446,0.751479596,9.463765975,44.39507454,39.76907858,0.859228508,10.12587523,47.62525961,33.84408961,0.958929286,12.77983786,37.27619878,45.55496696,1.156048534,10.36804001,26.73590465,64.87913983,0.450335199,6.143850204,10908.70121,648519,15683.73479,2015
"Sinaloa",1006653,51.42943994,37.83935477,8.977274195,0.43888013,31.47698363,43.38386713,3.693328287,10.83153778,24.79056835,27.08619554,10.13149516,24.1450629,27.98134014,46.37119246,2.270693079,14.11191344,33.3413798,41.92765531,2.531060852,14.82675758,35.11458268,38.66655143,3.534385732,16.13704027,34.46291821,36.72198861,4.540293428,14.54225041,31.53013004,58.91295213,0.785573579,6.321840793,18144.13105,795304,58231.94653,2015
"Sonora",1211731,50.69045853,38.9252235,8.635580009,0.748268386,30.43274456,42.26697179,4.114114436,14.69228731,21.6733747,13.7597371,17.64533547,31.32535191,29.47535385,51.4905536,2.991423014,10.98593665,28.95543648,51.48015525,2.522589585,12.67814391,33.55579745,43.83109783,3.758755037,15.21806408,33.3347913,41.41166645,5.298205625,14.30804362,23.34074147,69.14736026,1.029271348,5.088010458,14096.70766,975476,33255.55934,2015
"Tabasco",300354,55.80614874,38.32644147,5.267118134,0.455795495,34.49063438,45.92946989,1.902421809,13.09055315,24.3585902,14.94369977,15.27364377,39.26233711,28.96615327,59.4088975,0.702171438,8.692076683,32.16970641,58.08645798,0.927239191,8.314189257,35.01934384,55.92500849,0.154151435,8.069810956,28.92153925,58.38277499,1.547840215,10.03415969,34.22594672,58.3005387,0.715156116,6.370815771,12048.34294,232671,16343.24862,2015
"Tamaulipas",1766559,41.92110198,40.24252799,11.84692954,2.723939591,33.0094268,39.56890203,6.124392109,9.35230581,26.63086826,15.11146811,18.68044034,25.08373624,27.50901612,45.02566855,5.118311927,11.45832095,31.36719464,41.64938731,4.857352627,12.30318376,29.70011191,37.43073399,6.146242497,16.54289497,30.1247793,37.59964994,8.216481872,13.9758706,32.5666451,49.16761908,3.113227467,9.507805853,8151.501985,1132368,10441.39361,2015
"Tlaxcala",474552,38.70429373,45.30694213,13.33931793,1.105674404,38.06137157,41.57310474,2.04571891,9.024090089,20.39144288,6.87975185,14.20076198,40.41053457,37.64245014,41.95346348,2.286999107,9.750037931,40.43666448,38.12838214,2.691591227,11.57575987,40.44214333,36.82673342,3.020322325,16.16703754,37.79206494,40.32455874,3.497825317,11.8265227,33.11902594,55.13410543,0.987246919,9.091100659,13174.19225,376228,28710.78176,2015
"Veracruz de Ignacio de la Llave",1907763,38.80209439,47.71294967,8.889783479,2.647393832,35.48842283,35.06247893,2.83462883,17.28165396,22.82919839,7.822879467,18.56928769,39.24711822,31.22080678,44.41935398,2.728116648,14.50966394,34.35091256,42.62809374,2.233296274,15.82429264,38.85886245,34.6114271,3.304288845,18.05654057,36.6918742,31.93630446,5.020487346,17.66194229,39.09809552,38.651604,2.900622352,15.32029922,6951.991283,1417076,10460.83626,2015
"Yucatán",771476,28.01344436,47.30438795,22.29959195,0.561261789,34.28142936,40.76419746,3.530634783,11.04907995,17.83257029,9.38733026,18.96053798,29.25534949,28.85054104,48.8426082,3.173397487,8.91343347,35.38321348,27.30208069,7.602828863,22.22596685,38.16359809,31.99321819,3.316888665,19.80281953,34.40742162,32.02147572,4.717450705,18.76960528,35.2307784,48.92426984,1.776594476,11.1380004,13629.61025,680467,21584.29432,2015
