"entidad","year","corrupcion","camara","federal","estatal","municipal","ejercito","ministerio","policia","contacto","tramites","pib_total","pib_primarias","pib_secundarias","pib_terciarias","pib_salud","pib_educacion","wjp_corrupcion","wjp_edoderecho","year_wjp","escolaridad","year_esc","exportaciones","inversion","irs","year_real","habla_indigena","year_li"
"Estado de México",2015,89.82484647999999,85.61322902,82.9583854,83.73123783,83.84565329,40.987161889999996,84.30154218,91.40227283,0.002099762645875136,0.010630458581371727,NA,NA,NA,NA,NA,NA,0.2833938384717877,0.35524781178532444,2018,9.528067379,2015,21392725,16661996400,-0.4795274,2015,2.739034,2015
"Michoacán de Ocampo",2015,90.69215227000001,79.04371828000001,78.49108154,80.07831554,74.72091419,35.62603171,78.54192947,90.17649585,0.02960984655548077,0.05287308035608998,0.08420565033566578,0.00933997990171603,0.01543582498395125,0.05942984544999848,0.00190657504431809,0.00576798740792558,0.347145212658906,0.3956345793960175,2018,7.926166956,2015,822901,1281249563,0.6252466,2015,3.558948,2015
"Morelos",2015,90.69808734,82.56447102,83.79869736,89.44693115,85.21818843,34.890052419999996,82.55979123,91.74870066,0.03537018713207334,0.05235458332746529,0.09847216819316625,0.00282827864740775,0.02921816346265464,0.06642572608310383,0.00299644397474329,0.00511133825784177,0.3567399257666781,0.3652746021904162,2018,9.303000614,2015,3402757,1293181688,-0.2088349,2015,1.980698,2015
"Nayarit",2015,85.0277831,77.42061349,81.30571861,82.11151562,72.10019335,32.312006825,68.75507325000001,82.71455695,0.029319360420503694,0.04088711228607496,0.09657762076118707,0.00607923457939968,0.02056721391981711,0.06993117226197028,0.00235235087422209,0.00560041827187671,0.3543336382935922,0.3690897205548055,2018,9.158921469,2015,101253,381071356,0.0126394,2015,5.41305,2015
"Nuevo León",2015,89.34868853,78.32403584,83.11551924,84.33032241000001,79.88135961,30.273708624,74.81439306,89.44263783,0.0038318002731082134,0.00791135204590782,0.23988310449606057,0.00124103917098218,0.0877201996521538,0.15092186567292457,0.00376952200838206,0.00609178330557022,0.38978445267171696,0.4172999765073966,2018,10.27495586,2015,34522156,430824000,-1.360326,2015,1.217869,2015
"Oaxaca",2015,92.19129627999999,90.70244406,89.45042486,88.15287767000001,85.26228927,43.61907973,85.45337542,90.80291204,0.03707213436387031,0.05795612420179657,0.06568049333033257,0.00364080673627714,0.01814678308793416,0.04389290350612127,0.00150327894757136,0.00509805944672343,0.3384747859776521,0.3870106758165891,2018,7.51576302,2015,737200,2112927543,2.539013,2015,32.153007,2015
"Puebla",2015,83.67084014,79.29843075,81.8640599,78.41068733,78.10434173,38.0599942,78.90949019,89.80842725,0.010081487005285664,0.023256952042719284,0.08763403812327127,0.0039026971333384,0.0289231470267794,0.05480819396315346,0.00196773467741242,0.00481583797261189,0.32910071852511463,0.3612127155474737,2018,8.493854344,2015,10141642,3840579057,0.8834226,2015,11.264054,2015
"Querétaro",2015,73.26089233,79.06365314,78.92954344,70.01968121,66.32962424,35.76512577,70.27103489000001,79.87511204,0.02235353790755689,0.049422946720309405,0.17779821887270822,0.00445630287307714,0.07020352418498683,0.10313839181464424,0.00252335687499632,0.00589979503250633,0.4184164310094071,0.42676662663588216,2018,9.553260268,2015,10400468,2358850133,-0.4259123,2015,1.676642,2015
"Quintana Roo",2015,83.30012049,73.06520811,76.19741564,71.75161123000001,70.87953489,25.184009383,73.66189192,88.82543811,0.021635372537607597,0.03006966299491731,0.1625517268018237,0.00131145034304277,0.01773786696786413,0.1435024094909168,0.00332252014901815,0.00498518809080144,0.3081170008684362,0.3637547018589404,2018,9.615036244,2015,31075,2676434498,-0.3961296,2015,16.623827,2015
"San Luis Potosí",2015,90.09658963,79.58236185000001,83.37699746999999,84.16415312000001,81.46934922,31.252109635,82.83116574,91.61504448,0.01682094311808906,0.024183924896572038,0.12118512557858872,0.00467980513794143,0.04667698412698413,0.06982833631366316,0.00246051762074015,0.00579707596529571,0.34177650575891044,0.38628783704334,2018,8.81999521,2015,9806397,1352815538,0.6110144,2015,9.996013,2015
"Sinaloa",2015,89.26879471000001,74.86085076,74.3525326,75.26903511,73.78113411,51.87676389,71.18490682,90.44308217,0.022814082476637864,0.07321973299518172,0.12097420137604796,0.01417482430256199,0.02454929995775912,0.08225007711572685,0.00241730884823321,0.00692780956612585,0.35495394674935576,0.4085441498294905,2018,9.581325259,2015,1245917,2853513093,-0.4578008,2015,1.395216,2015
"Sonora",2015,89.61568203,72.69971635,80.96590745,80.43559173,77.38689528,35.4331118,74.74645774999999,92.48810173,0.014451106598214615,0.03409162228491526,0.1928221725203748,0.0117420467103809,0.08726434307606487,0.09381578273392906,0.003348304933113,0.00590979044531685,0.3254424663988662,0.356703665245391,2018,10.00142937,2015,16895882,873100936,-0.5882048,2015,2.440612,2015
"Tabasco",2015,94.13259020999999,80.42010427,88.37505077,90.25616439000001,90.94435233,39.30228997,87.30431424,92.52648542,0.05178274447610575,0.07024188068130537,0.2347175205989132,0.00320057596799027,0.15936386473018513,0.07215307990073778,0.00347356417141769,0.00553758278809254,0.35548809346602195,0.3753458133713256,2018,9.311768933,2015,6603627,825923048,-0.1544757,2015,2.72302,2015
"Tamaulipas",2015,82.16362997,72.57832883,72.53468466999999,73.01658195,67.1308459,41.742336370000004,67.72442924,81.73426418,0.00719863329324036,0.009220848354951747,0.1431232351008136,0.00466023631358707,0.05487296619285016,0.08359003259437638,0.00339807850659761,0.00596658132119668,0.3860882908303664,0.38114544475533607,2018,9.508512087,2015,26300101,2538477376,-0.5268046,2015,0.738607,2015
"Tlaxcala",2015,84.01123586,79.63447631,79.59591362,78.56504662,77.26887675,27.271194729999998,78.11662368,88.25313137,0.035016511928936705,0.07631218771595948,0.07578178681334048,0.00264960203386581,0.02724660230176918,0.04588558247770549,0.00219711717119182,0.00476520430185246,0.33256758480096266,0.3766838308917142,2018,9.274111563,2015,1307252,1372797313,-0.1736643,2015,2.737685,2015
"Veracruz de Ignacio de la Llave",2015,86.51504406000001,70.55090175999999,75.64016076,76.9790063,73.47028954999999,30.652077857,68.62817866,77.74969952000001,0.004905870456489278,0.007381986753004073,0.09685614135214708,0.00512744583824601,0.03273758536974708,0.05899111014415399,0.00253012811702427,0.00515179713294475,0.31182167834016994,0.36757255229047825,2018,8.203437948,2015,5437056,5513868834,1.199394,2015,9.194051,2015
"Yucatán",2015,75.31783231,75.04562682,77.69314924,62.685294170000006,70.15681628,27.21990055,66.42889733999999,84.15504824,0.02002978873332579,0.03171982523766766,0.10984992954808256,0.00436194165961352,0.02847838497025761,0.0770096029182114,0.00310783077234851,0.00529048267311979,0.3802366616521822,0.45017909822169744,2018,8.821077329,2015,1470940,170922112,0.2944613,2015,28.891132,2015
"Zacatecas",2015,89.12163654,76.67756151,77.01152008,79.96323459999999,75.12794880999999,35.83352989,65.21926327,89.14896723,0.03138745729917083,0.06107967326226131,0.10125661581209326,0.00744066111578644,0.04018811759558108,0.05362783710072574,0.00223222195415552,0.00565263812452943,0.4178001931126368,0.43715923836770815,2018,8.629599032,2015,3325166,1870189190,-0.3303741,2015,0.251678,2015
"Aguascalientes",2017,83.69183837,81.04979369,78.76201238,77.28761164,67.77645437999999,28.511415148999998,68.98108558999999,85.43448164,0.031011762871113097,0.05207588546227349,0.1651034631981861,0.00660864550064607,0.06930625487602701,0.08918856282151304,0.00401227006485115,0.00607540699587975,0.412812963201207,0.4429793676165045,2018,9.725974723,2015,7830019,1152789098,-1.036695,2015,0.251004,2015
"Baja California",2017,88.70597129999999,84.31531198,88.91823074,86.63349515,83.28273723000001,44.71735197,77.67623161,91.22579562,0.009828291954553476,0.013908190483606971,0.16687764245124656,0.00454577433992628,0.06309678427247278,0.0992350838388475,0.00317581397481004,0.00606761393898121,0.411437461588211,0.425724344680994,2018,9.757417721,2015,36315716,1106638647,-0.8180775,2015,1.454619,2015
"Baja California Sur",2017,89.4741533,82.01772628,84.84452367,84.5251535,82.73915627,34.91285403,76.21707269000001,90.80263418,0.07300095349935305,0.1377853983798667,0.2083856556404304,0.00725708363002068,0.06447715893594222,0.13665141307446746,0.00396122629836706,0.00649448828629171,0.3229957947123459,0.3510551690653406,2018,9.905535231,2015,249573,1633871840,-0.3953554,2015,1.527211,2015
"Campeche",2017,83.61346447,81.5046813,81.85240941,73.76985125,76.12004495,32.88060022,71.39572852,89.34764632,0.0474110977097471,0.10333016664863513,0.5976931309178148,0.00590850298522886,0.508422153476211,0.083362474456375,0.0027188684465809,0.00618926339908281,0.38326433970534346,0.4277133324550143,2018,9.13845446,2015,12726092,1315260691,0.3041175,2015,11.51482,2015
